year,month,date,nao,ea,amo,nao_lag1m,nao_lag2m,nao_lag3m,nao_roll3m,ea_lag1m,ea_lag2m,ea_lag3m,ea_roll3m,amo_lag1m,amo_lag2m,amo_lag3m,amo_roll3m
1854,1,1854-01-01,,,0.28,,,,,,,,,,,,0.28
1854,2,1854-02-01,,,0.34,,,,,,,,,0.28,,,0.31000000000000005
1854,3,1854-03-01,,,0.34,,,,,,,,,0.34,0.28,,0.32
1854,4,1854-04-01,,,0.16,,,,,,,,,0.34,0.34,0.28,0.28
1854,5,1854-05-01,,,0.02,,,,,,,,,0.16,0.34,0.34,0.17333333333333334
1854,6,1854-06-01,,,-0.18,,,,,,,,,0.02,0.16,0.34,0.0
1854,7,1854-07-01,,,-0.07,,,,,,,,,-0.18,0.02,0.16,-0.07666666666666667
1854,8,1854-08-01,,,-0.2,,,,,,,,,-0.07,-0.18,0.02,-0.15
1854,9,1854-09-01,,,-0.04,,,,,,,,,-0.2,-0.07,-0.18,-0.10333333333333333
1854,10,1854-10-01,,,0.09,,,,,,,,,-0.04,-0.2,-0.07,-0.05000000000000001
1854,11,1854-11-01,,,0.2,,,,,,,,,0.09,-0.04,-0.2,0.08333333333333333
1854,12,1854-12-01,,,0.41,,,,,,,,,0.2,0.09,-0.04,0.2333333333333333
1855,1,1855-01-01,,,0.29,,,,,,,,,0.41,0.2,0.09,0.3
1855,2,1855-02-01,,,0.26,,,,,,,,,0.29,0.41,0.2,0.32
1855,3,1855-03-01,,,0.13,,,,,,,,,0.26,0.29,0.41,0.22666666666666666
1855,4,1855-04-01,,,0.01,,,,,,,,,0.13,0.26,0.29,0.13333333333333333
1855,5,1855-05-01,,,-0.1,,,,,,,,,0.01,0.13,0.26,0.01333333333333333
1855,6,1855-06-01,,,-0.06,,,,,,,,,-0.1,0.01,0.13,-0.05000000000000001
1855,7,1855-07-01,,,-0.07,,,,,,,,,-0.06,-0.1,0.01,-0.07666666666666667
1855,8,1855-08-01,,,-0.14,,,,,,,,,-0.07,-0.06,-0.1,-0.09000000000000001
1855,9,1855-09-01,,,-0.18,,,,,,,,,-0.14,-0.07,-0.06,-0.13
1855,10,1855-10-01,,,0.19,,,,,,,,,-0.18,-0.14,-0.07,-0.043333333333333335
1855,11,1855-11-01,,,0.31,,,,,,,,,0.19,-0.18,-0.14,0.10666666666666667
1855,12,1855-12-01,,,0.14,,,,,,,,,0.31,0.19,-0.18,0.21333333333333335
1856,1,1856-01-01,,,-0.1,,,,,,,,,0.14,0.31,0.19,0.11666666666666665
1856,2,1856-02-01,,,-0.21,,,,,,,,,-0.1,0.14,0.31,-0.056666666666666664
1856,3,1856-03-01,,,-0.12,,,,,,,,,-0.21,-0.1,0.14,-0.14333333333333334
1856,4,1856-04-01,,,-0.17,,,,,,,,,-0.12,-0.21,-0.1,-0.16666666666666666
1856,5,1856-05-01,,,-0.22,,,,,,,,,-0.17,-0.12,-0.21,-0.17
1856,6,1856-06-01,,,-0.18,,,,,,,,,-0.22,-0.17,-0.12,-0.19000000000000003
1856,7,1856-07-01,,,-0.34,,,,,,,,,-0.18,-0.22,-0.17,-0.24666666666666667
1856,8,1856-08-01,,,-0.16,,,,,,,,,-0.34,-0.18,-0.22,-0.22666666666666668
1856,9,1856-09-01,,,0.04,,,,,,,,,-0.16,-0.34,-0.18,-0.15333333333333332
1856,10,1856-10-01,,,-0.04,,,,,,,,,0.04,-0.16,-0.34,-0.05333333333333334
1856,11,1856-11-01,,,0.01,,,,,,,,,-0.04,0.04,-0.16,0.0033333333333333335
1856,12,1856-12-01,,,-0.11,,,,,,,,,0.01,-0.04,0.04,-0.04666666666666667
1857,1,1857-01-01,,,-0.1,,,,,,,,,-0.11,0.01,-0.04,-0.06666666666666667
1857,2,1857-02-01,,,-0.03,,,,,,,,,-0.1,-0.11,0.01,-0.08
1857,3,1857-03-01,,,-0.15,,,,,,,,,-0.03,-0.1,-0.11,-0.09333333333333334
1857,4,1857-04-01,,,-0.22,,,,,,,,,-0.15,-0.03,-0.1,-0.13333333333333333
1857,5,1857-05-01,,,-0.33,,,,,,,,,-0.22,-0.15,-0.03,-0.2333333333333333
1857,6,1857-06-01,,,-0.22,,,,,,,,,-0.33,-0.22,-0.15,-0.25666666666666665
1857,7,1857-07-01,,,-0.29,,,,,,,,,-0.22,-0.33,-0.22,-0.27999999999999997
1857,8,1857-08-01,,,-0.17,,,,,,,,,-0.29,-0.22,-0.33,-0.22666666666666666
1857,9,1857-09-01,,,-0.13,,,,,,,,,-0.17,-0.29,-0.22,-0.19666666666666666
1857,10,1857-10-01,,,-0.27,,,,,,,,,-0.13,-0.17,-0.29,-0.18999999999999997
1857,11,1857-11-01,,,-0.32,,,,,,,,,-0.27,-0.13,-0.17,-0.24
1857,12,1857-12-01,,,-0.07,,,,,,,,,-0.32,-0.27,-0.13,-0.21999999999999997
1858,1,1858-01-01,,,-0.13,,,,,,,,,-0.07,-0.32,-0.27,-0.1733333333333333
1858,2,1858-02-01,,,-0.27,,,,,,,,,-0.13,-0.07,-0.32,-0.15666666666666665
1858,3,1858-03-01,,,-0.4,,,,,,,,,-0.27,-0.13,-0.07,-0.26666666666666666
1858,4,1858-04-01,,,-0.17,,,,,,,,,-0.4,-0.27,-0.13,-0.27999999999999997
1858,5,1858-05-01,,,-0.25,,,,,,,,,-0.17,-0.4,-0.27,-0.2733333333333333
1858,6,1858-06-01,,,-0.28,,,,,,,,,-0.25,-0.17,-0.4,-0.2333333333333333
1858,7,1858-07-01,,,-0.39,,,,,,,,,-0.28,-0.25,-0.17,-0.30666666666666664
1858,8,1858-08-01,,,-0.42,,,,,,,,,-0.39,-0.28,-0.25,-0.3633333333333333
1858,9,1858-09-01,,,-0.27,,,,,,,,,-0.42,-0.39,-0.28,-0.35999999999999993
1858,10,1858-10-01,,,-0.11,,,,,,,,,-0.27,-0.42,-0.39,-0.26666666666666666
1858,11,1858-11-01,,,0.04,,,,,,,,,-0.11,-0.27,-0.42,-0.1133333333333333
1858,12,1858-12-01,,,-0.13,,,,,,,,,0.04,-0.11,-0.27,-0.06666666666666664
1859,1,1859-01-01,,,-0.29,,,,,,,,,-0.13,0.04,-0.11,-0.12666666666666662
1859,2,1859-02-01,,,-0.22,,,,,,,,,-0.29,-0.13,0.04,-0.2133333333333333
1859,3,1859-03-01,,,0.08,,,,,,,,,-0.22,-0.29,-0.13,-0.14333333333333328
1859,4,1859-04-01,,,0.13,,,,,,,,,0.08,-0.22,-0.29,-0.003333333333333318
1859,5,1859-05-01,,,0.08,,,,,,,,,0.13,0.08,-0.22,0.09666666666666668
1859,6,1859-06-01,,,-0.12,,,,,,,,,0.08,0.13,0.08,0.030000000000000013
1859,7,1859-07-01,,,-0.2,,,,,,,,,-0.12,0.08,0.13,-0.08
1859,8,1859-08-01,,,-0.08,,,,,,,,,-0.2,-0.12,0.08,-0.13333333333333333
1859,9,1859-09-01,,,0.17,,,,,,,,,-0.08,-0.2,-0.12,-0.03666666666666666
1859,10,1859-10-01,,,0.13,,,,,,,,,0.17,-0.08,-0.2,0.07333333333333335
1859,11,1859-11-01,,,-0.09,,,,,,,,,0.13,0.17,-0.08,0.07000000000000002
1859,12,1859-12-01,,,-0.02,,,,,,,,,-0.09,0.13,0.17,0.006666666666666669
1860,1,1860-01-01,,,-0.04,,,,,,,,,-0.02,-0.09,0.13,-0.049999999999999996
1860,2,1860-02-01,,,-0.08,,,,,,,,,-0.04,-0.02,-0.09,-0.04666666666666667
1860,3,1860-03-01,,,0.02,,,,,,,,,-0.08,-0.04,-0.02,-0.03333333333333333
1860,4,1860-04-01,,,-0.02,,,,,,,,,0.02,-0.08,-0.04,-0.026666666666666672
1860,5,1860-05-01,,,0.1,,,,,,,,,-0.02,0.02,-0.08,0.03333333333333333
1860,6,1860-06-01,,,-0.17,,,,,,,,,0.1,-0.02,0.02,-0.03000000000000001
1860,7,1860-07-01,,,-0.23,,,,,,,,,-0.17,0.1,-0.02,-0.10000000000000002
1860,8,1860-08-01,,,-0.35,,,,,,,,,-0.23,-0.17,0.1,-0.25
1860,9,1860-09-01,,,-0.32,,,,,,,,,-0.35,-0.23,-0.17,-0.30000000000000004
1860,10,1860-10-01,,,0.08,,,,,,,,,-0.32,-0.35,-0.23,-0.19666666666666666
1860,11,1860-11-01,,,0.31,,,,,,,,,0.08,-0.32,-0.35,0.023333333333333334
1860,12,1860-12-01,,,0.34,,,,,,,,,0.31,0.08,-0.32,0.24333333333333332
1861,1,1861-01-01,,,-0.01,,,,,,,,,0.34,0.31,0.08,0.21333333333333337
1861,2,1861-02-01,,,-0.34,,,,,,,,,-0.01,0.34,0.31,-0.003333333333333336
1861,3,1861-03-01,,,-0.24,,,,,,,,,-0.34,-0.01,0.34,-0.19666666666666668
1861,4,1861-04-01,,,-0.04,,,,,,,,,-0.24,-0.34,-0.01,-0.20666666666666667
1861,5,1861-05-01,,,-0.14,,,,,,,,,-0.04,-0.24,-0.34,-0.14
1861,6,1861-06-01,,,-0.23,,,,,,,,,-0.14,-0.04,-0.24,-0.1366666666666667
1861,7,1861-07-01,,,0.03,,,,,,,,,-0.23,-0.14,-0.04,-0.11333333333333336
1861,8,1861-08-01,,,0.38,,,,,,,,,0.03,-0.23,-0.14,0.05999999999999999
1861,9,1861-09-01,,,0.27,,,,,,,,,0.38,0.03,-0.23,0.22666666666666666
1861,10,1861-10-01,,,0.11,,,,,,,,,0.27,0.38,0.03,0.25333333333333335
1861,11,1861-11-01,,,0.11,,,,,,,,,0.11,0.27,0.38,0.16333333333333333
1861,12,1861-12-01,,,-0.02,,,,,,,,,0.11,0.11,0.27,0.06666666666666665
1862,1,1862-01-01,,,-0.25,,,,,,,,,-0.02,0.11,0.11,-0.053333333333333344
1862,2,1862-02-01,,,-0.13,,,,,,,,,-0.25,-0.02,0.11,-0.13333333333333333
1862,3,1862-03-01,,,-0.16,,,,,,,,,-0.13,-0.25,-0.02,-0.18000000000000002
1862,4,1862-04-01,,,-0.45,,,,,,,,,-0.16,-0.13,-0.25,-0.2466666666666667
1862,5,1862-05-01,,,-0.5,,,,,,,,,-0.45,-0.16,-0.13,-0.37000000000000005
1862,6,1862-06-01,,,-0.51,,,,,,,,,-0.5,-0.45,-0.16,-0.48666666666666664
1862,7,1862-07-01,,,-0.76,,,,,,,,,-0.51,-0.5,-0.45,-0.59
1862,8,1862-08-01,,,-0.61,,,,,,,,,-0.76,-0.51,-0.5,-0.6266666666666667
1862,9,1862-09-01,,,-0.49,,,,,,,,,-0.61,-0.76,-0.51,-0.62
1862,10,1862-10-01,,,-0.56,,,,,,,,,-0.49,-0.61,-0.76,-0.5533333333333333
1862,11,1862-11-01,,,-0.09,,,,,,,,,-0.56,-0.49,-0.61,-0.3800000000000001
1862,12,1862-12-01,,,-0.17,,,,,,,,,-0.09,-0.56,-0.49,-0.2733333333333334
1863,1,1863-01-01,,,-0.37,,,,,,,,,-0.17,-0.09,-0.56,-0.21000000000000005
1863,2,1863-02-01,,,-0.34,,,,,,,,,-0.37,-0.17,-0.09,-0.2933333333333334
1863,3,1863-03-01,,,-0.18,,,,,,,,,-0.34,-0.37,-0.17,-0.2966666666666667
1863,4,1863-04-01,,,-0.25,,,,,,,,,-0.18,-0.34,-0.37,-0.2566666666666667
1863,5,1863-05-01,,,-0.07,,,,,,,,,-0.25,-0.18,-0.34,-0.1666666666666667
1863,6,1863-06-01,,,-0.19,,,,,,,,,-0.07,-0.25,-0.18,-0.17000000000000004
1863,7,1863-07-01,,,-0.37,,,,,,,,,-0.19,-0.07,-0.25,-0.21000000000000005
1863,8,1863-08-01,,,-0.22,,,,,,,,,-0.37,-0.19,-0.07,-0.26
1863,9,1863-09-01,,,-0.2,,,,,,,,,-0.22,-0.37,-0.19,-0.26333333333333336
1863,10,1863-10-01,,,-0.28,,,,,,,,,-0.2,-0.22,-0.37,-0.2333333333333334
1863,11,1863-11-01,,,-0.08,,,,,,,,,-0.28,-0.2,-0.22,-0.18666666666666673
1863,12,1863-12-01,,,-0.25,,,,,,,,,-0.08,-0.28,-0.2,-0.20333333333333337
1864,1,1864-01-01,,,-0.39,,,,,,,,,-0.25,-0.08,-0.28,-0.24000000000000007
