year,month,ea,date
1950,1,-2.71,1950-01-01
1950,2,0.66,1950-02-01
1950,3,0.82,1950-03-01
1950,4,0.28,1950-04-01
1950,5,-0.51,1950-05-01
1950,6,1.24,1950-06-01
1950,7,0.58,1950-07-01
1950,8,-0.54,1950-08-01
1950,9,0.14,1950-09-01
1950,10,-1.29,1950-10-01
1950,11,-0.18,1950-11-01
1950,12,-2.48,1950-12-01
1951,1,-1.47,1951-01-01
1951,2,-0.17,1951-02-01
1951,3,-2.34,1951-03-01
1951,4,0.42,1951-04-01
1951,5,-1.13,1951-05-01
1951,6,-0.08,1951-06-01
1951,7,-0.58,1951-07-01
1951,8,0.69,1951-08-01
1951,9,0.56,1951-09-01
1951,10,-0.68,1951-10-01
1951,11,0.11,1951-11-01
1951,12,0.21,1951-12-01
1952,1,-2.26,1952-01-01
1952,2,-1.84,1952-02-01
1952,3,0.26,1952-03-01
1952,4,0.95,1952-04-01
1952,5,-0.18,1952-05-01
1952,6,-0.14,1952-06-01
1952,7,0.52,1952-07-01
1952,8,-0.16,1952-08-01
1952,9,-2.13,1952-09-01
1952,10,-0.54,1952-10-01
1952,11,-1.43,1952-11-01
1952,12,-1.31,1952-12-01
1953,1,-2.69,1953-01-01
1953,2,-1.34,1953-02-01
1953,3,-1.02,1953-03-01
1953,4,-0.02,1953-04-01
1953,5,-1.54,1953-05-01
1953,6,-1.32,1953-06-01
1953,7,0.74,1953-07-01
1953,8,0.01,1953-08-01
1953,9,-0.24,1953-09-01
1953,10,-0.43,1953-10-01
1953,11,0.18,1953-11-01
1953,12,-1.05,1953-12-01
1954,1,-2.49,1954-01-01
1954,2,-1.02,1954-02-01
1954,3,-0.46,1954-03-01
1954,4,-2.77,1954-04-01
1954,5,-0.79,1954-05-01
1954,6,-0.69,1954-06-01
1954,7,-0.3,1954-07-01
1954,8,-0.57,1954-08-01
1954,9,0.64,1954-09-01
1954,10,-0.62,1954-10-01
1954,11,-0.27,1954-11-01
1954,12,-1.6,1954-12-01
1955,1,-0.24,1955-01-01
1955,2,0.03,1955-02-01
1955,3,-1.37,1955-03-01
1955,4,-1.52,1955-04-01
1955,5,0.51,1955-05-01
1955,6,-1.3,1955-06-01
1955,7,-1.52,1955-07-01
1955,8,-0.75,1955-08-01
1955,9,0.1,1955-09-01
1955,10,-2.29,1955-10-01
1955,11,-1.89,1955-11-01
1955,12,0.35,1955-12-01
1956,1,-2.27,1956-01-01
1956,2,-2.61,1956-02-01
1956,3,-0.39,1956-03-01
1956,4,-1.35,1956-04-01
1956,5,-0.2,1956-05-01
1956,6,-0.66,1956-06-01
1956,7,-0.45,1956-07-01
1956,8,-1.41,1956-08-01
1956,9,-0.42,1956-09-01
1956,10,-1.82,1956-10-01
1956,11,-2.9,1956-11-01
1956,12,-0.96,1956-12-01
1957,1,-0.93,1957-01-01
1957,2,0.7,1957-02-01
1957,3,0.11,1957-03-01
1957,4,-1.38,1957-04-01
1957,5,-1.72,1957-05-01
1957,6,0.11,1957-06-01
1957,7,-1.34,1957-07-01
1957,8,-1.3,1957-08-01
1957,9,-1.39,1957-09-01
1957,10,-0.42,1957-10-01
1957,11,-1.89,1957-11-01
1957,12,-1.97,1957-12-01
1958,1,-1.48,1958-01-01
1958,2,0.61,1958-02-01
1958,3,-1.02,1958-03-01
1958,4,-1.21,1958-04-01
1958,5,1.17,1958-05-01
1958,6,1.14,1958-06-01
1958,7,-0.56,1958-07-01
1958,8,0.29,1958-08-01
1958,9,1.27,1958-09-01
1958,10,-0.7,1958-10-01
1958,11,-2.13,1958-11-01
1958,12,-0.3,1958-12-01
1959,1,-0.72,1959-01-01
1959,2,-0.55,1959-02-01
1959,3,2.68,1959-03-01
1959,4,0.48,1959-04-01
1959,5,-1.84,1959-05-01
1959,6,0.12,1959-06-01
1959,7,-0.03,1959-07-01
1959,8,-1.89,1959-08-01
1959,9,-0.57,1959-09-01
1959,10,0.23,1959-10-01
1959,11,-1.16,1959-11-01
1959,12,0.49,1959-12-01
1960,1,-0.22,1960-01-01
1960,2,0.99,1960-02-01
1960,3,0.09,1960-03-01
1960,4,-1.89,1960-04-01
1960,5,-0.68,1960-05-01
1960,6,0.42,1960-06-01
1960,7,-0.29,1960-07-01
1960,8,-0.34,1960-08-01
1960,9,-0.39,1960-09-01
1960,10,-1.05,1960-10-01
1960,11,0.98,1960-11-01
1960,12,-2.47,1960-12-01
1961,1,-0.44,1961-01-01
1961,2,0.75,1961-02-01
1961,3,-0.45,1961-03-01
1961,4,1.52,1961-04-01
1961,5,-0.72,1961-05-01
1961,6,1.83,1961-06-01
1961,7,-0.74,1961-07-01
1961,8,-0.16,1961-08-01
1961,9,0.64,1961-09-01
1961,10,-0.73,1961-10-01
1961,11,-1.25,1961-11-01
1961,12,0.95,1961-12-01
1962,1,0.36,1962-01-01
1962,2,-2.01,1962-02-01
1962,3,-1.26,1962-03-01
1962,4,-0.52,1962-04-01
1962,5,-1.05,1962-05-01
1962,6,-0.72,1962-06-01
1962,7,-1.4,1962-07-01
1962,8,-0.41,1962-08-01
1962,9,0.29,1962-09-01
1962,10,-0.94,1962-10-01
1962,11,-1.98,1962-11-01
1962,12,-1.88,1962-12-01
1963,1,-2.76,1963-01-01
1963,2,-0.07,1963-02-01
1963,3,0.85,1963-03-01
1963,4,-1.04,1963-04-01
1963,5,-0.62,1963-05-01
1963,6,-1.44,1963-06-01
1963,7,-0.76,1963-07-01
1963,8,-0.96,1963-08-01
1963,9,-0.66,1963-09-01
1963,10,-0.99,1963-10-01
1963,11,0.98,1963-11-01
1963,12,-0.85,1963-12-01
1964,1,-0.15,1964-01-01
1964,2,-0.33,1964-02-01
1964,3,1.07,1964-03-01
1964,4,0.05,1964-04-01
1964,5,0.72,1964-05-01
1964,6,0.21,1964-06-01
1964,7,-1.27,1964-07-01
1964,8,-1.35,1964-08-01
1964,9,0.26,1964-09-01
1964,10,-1.35,1964-10-01
1964,11,-0.67,1964-11-01
1964,12,-2.98,1964-12-01
1965,1,-1.83,1965-01-01
1965,2,-2.32,1965-02-01
1965,3,0.89,1965-03-01
1965,4,-1.89,1965-04-01
1965,5,-0.85,1965-05-01
1965,6,-0.16,1965-06-01
1965,7,-1.71,1965-07-01
1965,8,-1.81,1965-08-01
1965,9,-0.54,1965-09-01
1965,10,-1.49,1965-10-01
1965,11,-0.46,1965-11-01
1965,12,0.28,1965-12-01
1966,1,0.16,1966-01-01
1966,2,1.69,1966-02-01
1966,3,-2.42,1966-03-01
1966,4,0.73,1966-04-01
1966,5,1.02,1966-05-01
1966,6,-0.05,1966-06-01
1966,7,-1.74,1966-07-01
1966,8,-0.14,1966-08-01
1966,9,-1.11,1966-09-01
1966,10,-1.26,1966-10-01
1966,11,-1.11,1966-11-01
1966,12,-1.96,1966-12-01
1967,1,-0.95,1967-01-01
1967,2,-0.22,1967-02-01
1967,3,-1.34,1967-03-01
1967,4,-2.75,1967-04-01
1967,5,0.9,1967-05-01
1967,6,-1.31,1967-06-01
1967,7,0.5,1967-07-01
1967,8,-0.14,1967-08-01
1967,9,-1.03,1967-09-01
1967,10,0.59,1967-10-01
1967,11,-0.84,1967-11-01
1967,12,-3.32,1967-12-01
1968,1,-2.67,1968-01-01
1968,2,-0.14,1968-02-01
1968,3,-1.61,1968-03-01
1968,4,0.42,1968-04-01
1968,5,0.4,1968-05-01
1968,6,0.44,1968-06-01
1968,7,-0.92,1968-07-01
1968,8,-1.93,1968-08-01
1968,9,0.14,1968-09-01
1968,10,0.27,1968-10-01
1968,11,-0.28,1968-11-01
1968,12,-0.15,1968-12-01
1969,1,-1.7,1969-01-01
1969,2,-0.52,1969-02-01
1969,3,0.02,1969-03-01
1969,4,-1.37,1969-04-01
1969,5,0.97,1969-05-01
1969,6,0.57,1969-06-01
1969,7,-0.1,1969-07-01
1969,8,-1.82,1969-08-01
1969,9,-0.51,1969-09-01
1969,10,0.54,1969-10-01
1969,11,-0.48,1969-11-01
1969,12,-2.81,1969-12-01
1970,1,1.25,1970-01-01
1970,2,-0.17,1970-02-01
1970,3,-0.7,1970-03-01
1970,4,1.2,1970-04-01
1970,5,-0.41,1970-05-01
1970,6,-0.03,1970-06-01
1970,7,-0.46,1970-07-01
1970,8,-0.47,1970-08-01
1970,9,0.41,1970-09-01
1970,10,-0.88,1970-10-01
1970,11,0.58,1970-11-01
1970,12,-1.89,1970-12-01
1971,1,1.72,1971-01-01
1971,2,-1.26,1971-02-01
1971,3,-1.59,1971-03-01
1971,4,-1.74,1971-04-01
1971,5,-0.43,1971-05-01
1971,6,-0.71,1971-06-01
1971,7,-1.24,1971-07-01
1971,8,-1.68,1971-08-01
1971,9,-2.12,1971-09-01
1971,10,-0.2,1971-10-01
1971,11,-1.9,1971-11-01
1971,12,-2.07,1971-12-01
1972,1,-0.97,1972-01-01
1972,2,0.59,1972-02-01
1972,3,-1.88,1972-03-01
1972,4,-1.15,1972-04-01
1972,5,-0.42,1972-05-01
1972,6,0.82,1972-06-01
1972,7,-0.97,1972-07-01
1972,8,-1.55,1972-08-01
1972,9,-2.69,1972-09-01
1972,10,-1.94,1972-10-01
1972,11,0.22,1972-11-01
1972,12,0.31,1972-12-01
1973,1,0.94,1973-01-01
1973,2,-1.03,1973-02-01
1973,3,-0.03,1973-03-01
1973,4,-1.53,1973-04-01
1973,5,1.32,1973-05-01
1973,6,0.21,1973-06-01
1973,7,-0.58,1973-07-01
1973,8,-0.46,1973-08-01
