year,month,nao,date
1950,1,0.92,1950-01-01
1950,2,0.4,1950-02-01
1950,3,-0.36,1950-03-01
1950,4,0.73,1950-04-01
1950,5,-0.59,1950-05-01
1950,6,-0.06,1950-06-01
1950,7,-1.26,1950-07-01
1950,8,-0.05,1950-08-01
1950,9,0.25,1950-09-01
1950,10,0.85,1950-10-01
1950,11,-1.26,1950-11-01
1950,12,-1.02,1950-12-01
1951,1,0.08,1951-01-01
1951,2,0.7,1951-02-01
1951,3,-1.02,1951-03-01
1951,4,-0.22,1951-04-01
1951,5,-0.59,1951-05-01
1951,6,-1.64,1951-06-01
1951,7,1.37,1951-07-01
1951,8,-0.22,1951-08-01
1951,9,-1.36,1951-09-01
1951,10,1.87,1951-10-01
1951,11,-0.39,1951-11-01
1951,12,1.32,1951-12-01
1952,1,0.93,1952-01-01
1952,2,-0.83,1952-02-01
1952,3,-1.49,1952-03-01
1952,4,1.01,1952-04-01
1952,5,-1.12,1952-05-01
1952,6,-0.4,1952-06-01
1952,7,-0.09,1952-07-01
1952,8,-0.28,1952-08-01
1952,9,-0.54,1952-09-01
1952,10,-0.73,1952-10-01
1952,11,-1.13,1952-11-01
1952,12,-0.43,1952-12-01
1953,1,0.33,1953-01-01
1953,2,-0.49,1953-02-01
1953,3,-0.04,1953-03-01
1953,4,-1.67,1953-04-01
1953,5,-0.66,1953-05-01
1953,6,1.09,1953-06-01
1953,7,0.4,1953-07-01
1953,8,-0.71,1953-08-01
1953,9,-0.35,1953-09-01
1953,10,1.32,1953-10-01
1953,11,1.04,1953-11-01
1953,12,-0.47,1953-12-01
1954,1,0.37,1954-01-01
1954,2,0.74,1954-02-01
1954,3,-0.83,1954-03-01
1954,4,1.34,1954-04-01
1954,5,-0.09,1954-05-01
1954,6,-0.25,1954-06-01
1954,7,-0.6,1954-07-01
1954,8,-1.9,1954-08-01
1954,9,-0.44,1954-09-01
1954,10,0.6,1954-10-01
1954,11,0.4,1954-11-01
1954,12,0.69,1954-12-01
1955,1,-1.84,1955-01-01
1955,2,-1.12,1955-02-01
1955,3,-0.53,1955-03-01
1955,4,-0.42,1955-04-01
1955,5,-0.34,1955-05-01
1955,6,-1.1,1955-06-01
1955,7,1.76,1955-07-01
1955,8,1.07,1955-08-01
1955,9,0.32,1955-09-01
1955,10,-1.47,1955-10-01
1955,11,-1.29,1955-11-01
1955,12,0.17,1955-12-01
1956,1,-0.22,1956-01-01
1956,2,-1.12,1956-02-01
1956,3,-0.05,1956-03-01
1956,4,-1.06,1956-04-01
1956,5,2.21,1956-05-01
1956,6,0.1,1956-06-01
1956,7,-0.75,1956-07-01
1956,8,-1.37,1956-08-01
1956,9,0.24,1956-09-01
1956,10,0.88,1956-10-01
1956,11,0.51,1956-11-01
1956,12,0.1,1956-12-01
1957,1,1.05,1957-01-01
1957,2,0.11,1957-02-01
1957,3,-1.26,1957-03-01
1957,4,0.49,1957-04-01
1957,5,-0.79,1957-05-01
1957,6,-0.72,1957-06-01
1957,7,-1.19,1957-07-01
1957,8,-0.55,1957-08-01
1957,9,-1.66,1957-09-01
1957,10,1.32,1957-10-01
1957,11,0.73,1957-11-01
1957,12,0.12,1957-12-01
1958,1,-0.54,1958-01-01
1958,2,-1.06,1958-02-01
1958,3,-1.96,1958-03-01
1958,4,0.37,1958-04-01
1958,5,-0.24,1958-05-01
1958,6,-1.38,1958-06-01
1958,7,-1.73,1958-07-01
1958,8,-1.56,1958-08-01
1958,9,-0.07,1958-09-01
1958,10,0.16,1958-10-01
1958,11,1.64,1958-11-01
