Accepted_ID,Taxon_Name,WoRMS_Name,Aphia_ID,DRI,Kingdom,Phylum,Class,Order,Family,Genus,Species
101,Paralia sulcata,Paralia sulcata,149055,1958,Chromista,Heterokontophyta,Bacillariophyceae,Paraliales,Paraliaceae,Paralia,sulcata
102,Skeletonema costatum,Skeletonema costatum,149074,1958,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,costatum
103,Thalassiosira spp.,Thalassiosira,148912,1958,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,
104,Dactyliosolen antarcticus,Dactyliosolen antarcticus,179785,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,antarcticus
107,Rhizosolenia styliformis,Rhizosolenia styliformis,149629,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,styliformis
108,Rhizosolenia hebetata semispina,Rhizosolenia hebetata semispina,149070,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,hebetata
112,Chaetoceros(Hyalochaete) spp.,Chaetoceros,370366,1958,Chromista,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,
113,Chaetoceros(Phaeoceros) spp.,Chaetoceros,370367,1958,Chromista,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,
114,Odontella sinensis,Odontella sinensis,149095,1958,Chromista,Heterokontophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Odontella,sinensis
116,Thalassiothrix longissima,Thalassiothrix longissima,157083,1958,Chromista,Heterokontophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassiothrix,longissima
117,Thalassionema nitzschioides,Thalassionema nitzschioides,985570,1958,Chromista,Heterokontophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,nitzschioides
151,Actinoptychus spp.,Actinoptychus,148947,1960,Chromista,Heterokontophyta,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,
152,Asteromphalus spp.,Asteromphalus,162254,1958,Chromista,Heterokontophyta,Bacillariophyceae,Asterolamprales,Asterolampraceae,Asteromphalus,
154,Bacteriastrum spp.,Bacteriastrum,149118,1958,Chromista,Heterokontophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Bacteriastrum,
155,Bellerochea malleus,Bellerochea malleus,149306,1958,Chromista,Heterokontophyta,Bacillariophyceae,Hemiaulales,Bellerocheaceae,Bellerochea,malleus
156,Biddulphia alternans,Biddulphia alternans,699394,1958,Chromista,Heterokontophyta,Bacillariophyceae,Biddulphiales,Biddulphiaceae,Biddulphia,alternans
157,Odontella aurita,Odontella aurita,149050,1958,Chromista,Heterokontophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Odontella,aurita
158,Odontella granulata,Odontella granulata,1322477,1958,Chromista,Heterokontophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Odontella,granulata
160,Odontella regia,Odontella regia,149662,1958,Chromista,Heterokontophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Odontella,regia
161,Odontella rhombus,Odontella rhombus,163288,1958,Chromista,Heterokontophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Odontella,rhombus
162,Cerataulina pelagica,Cerataulina pelagica,149619,1958,Chromista,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Cerataulina,pelagica
165,Coscinodiscus concinnus,Coscinodiscus concinnus,148992,1958,Chromista,Heterokontophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,concinnus
166,Coscinodiscus spp. (Unidentified),Coscinodiscus,148917,1958,Chromista,Heterokontophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,
167,Detonula confervacea,Detonula confervacea,149286,1963,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Detonula,confervacea
168,Ditylum brightwellii,Ditylum brightwellii,149023,1958,Chromista,Heterokontophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,brightwellii
169,Eucampia zodiacus,Eucampia zodiacus,149131,1958,Chromista,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia,zodiacus
171,Guinardia flaccida,Guinardia flaccida,149132,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,flaccida
173,Hemiaulus spp.,Hemiaulus,163248,1959,Chromista,Heterokontophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Hemiaulus,
175,Leptocylindrus danicus,Leptocylindrus danicus,149106,1958,Chromista,Heterokontophyta,Bacillariophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,danicus
177,Cylindrotheca closterium,Cylindrotheca closterium,149004,1958,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,closterium
178,Rhaphoneis amphiceros,Rhaphoneis amphiceros,149066,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhaponeidales,Rhaphoneidaceae,Rhaphoneis,amphiceros
180,Rhizosolenia acuminata,Rhizosolenia acuminata,196805,1961,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,acuminata
182,Rhizosolenia bergonii,Rhizosolenia bergonii,196811,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,bergonii
190,Stephanopyxis spp.,Stephanopyxis,149630,1958,Chromista,Heterokontophyta,Bacillariophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,
192,Surirella spp.,Surirella,149084,1960,Chromista,Heterokontophyta,Bacillariophyceae,Surirellales,Surirellaceae,Surirella,
200,Odontella mobiliensis,Odontella mobiliensis,164116,1958,Chromista,Heterokontophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Odontella,mobiliensis
203,Pachysphaera spp.,Pachysphaera,160594,1973,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Halosphaeraceae,Pachysphaera,
947,Diploneis spp.,Diploneis,149018,1981,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
975,Nitzschia sigma rigida,Nitzschia sigma rigida,984641,1977,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,sigma
976,Coscinodiscus wailesii,Coscinodiscus wailesii,156632,1977,Chromista,Heterokontophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,wailesii
981,Nitzschia longissima,Nitzschia longissima,149150,1979,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,longissima
1000,Proboscia alata,Proboscia alata,149168,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Proboscia,alata
1001,Leptocylindrus mediterraneus,Leptocylindrus mediterraneus,149230,1958,Chromista,Heterokontophyta,Bacillariophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,mediterraneus
1002,Proboscia inermis,Proboscia inermis,341501,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Proboscia,inermis
10615,Asterionellopsis glacialis,Asterionellopsis glacialis,149139,1958,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,glacialis
10622,Ephemera planamembranacea,Ephemera planamembranacea,341542,1962,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Plagiotropidaceae,Ephemera,planamembranacea
10626,Podosira stelligera,Podosira stelligera,149060,1974,Chromista,Heterokontophyta,Bacillariophyceae,Melosirales,Hyalodiscaceae,Podosira,stelligera
10629,Pseudosolenia calcar-avis,Pseudosolenia calcar-avis,163344,1960,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Pseudosolenia,calcar-avis
10631,Guinardia delicatula,Guinardia delicatula,149112,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,delicatula
10632,Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,149310,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,fragilissimus
10633,Neocalyptrella robusta,Neocalyptrella robusta,345491,1980,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Neocalyptrella,robusta
10634,Guinardia striata,Guinardia striata,149113,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,striata
10636,Detonula pumila,Detonula pumila,149647,1959,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Detonula,pumila
10637,Meuniera membranacea,Meuniera membranacea,149145,1974,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Meuniera,membranacea
10638,Helicotheca tamesis,Helicotheca tamesis,157440,1958,Chromista,Heterokontophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Helicotheca,tamesis
10641,Lauderia annulata,Lauderia annulata,149135,1958,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Lauderiaceae,Lauderia,annulata
10680,Bacillaria paxillifera,Bacillaria paxillifera,163728,1958,Chromista,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Bacillaria,paxillifera
10681,Corethron hystrix,Corethron hystrix,179596,1958,Chromista,Heterokontophyta,Bacillariophyceae,Corethrales,Corethraceae,Corethron,hystrix
10682,Proboscia curvirostris,Proboscia curvirostris,613575,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Proboscia,curvirostris
10683,Proboscia indica,Proboscia indica,231887,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Proboscia,indica
10684,Rhizosolenia imbricata,Rhizosolenia imbricata,149116,1958,Chromista,Heterokontophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,imbricata
