Accepted_ID,Taxon_Name,WoRMS_Name,Aphia_ID,DRI,Kingdom,Phylum,Class,Order,Family,Genus,Species
121,Ceratium fusus,Ceratium fusus,840626,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,fusus
122,Ceratium furca,Ceratium furca,840627,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,furca
123,Ceratium lineatum,Ceratium lineatum,837459,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,lineatum
124,Ceratium tripos,Ceratium tripos,495363,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,tripos
125,Ceratium macroceros,Ceratium macroceros,841260,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,macroceros
126,Ceratium horridum,Ceratium horridum,837453,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,horridum
127,Ceratium longipes,Ceratium longipes,841259,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,longipes
128,Ceratium arcticum,Ceratium arcticum,836815,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,arcticum
131,Ceratium kofoidii,Ceratium kofoidii,837456,1974,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,kofoidii
132,Pyrophacus spp.,Pyrophacus,109555,1975,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Pyrophacaceae,Pyrophacus,
220,Amphisolenia spp.,Amphisolenia,109459,1967,Chromista,Myzozoa,Dinophyceae,Dinophysales,Amphisoleniaceae,Amphisolenia,
221,Ceratium arietinum,Ceratium arietinum,841182,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,arietinum
222,Ceratium azoricum,Ceratium azoricum,837310,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,azoricum
224,Ceratium bucephalum,Ceratium bucephalum,841190,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,bucephalum
226,Ceratium candelabrum,Ceratium candelabrum,841193,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,candelabrum
227,Ceratium carriense,Ceratium carriense,837448,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,carriense
228,Ceratium compressum,Ceratium compressum,841199,1963,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,compressum
229,Ceratium declinatum,Ceratium declinatum,841202,1959,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,declinatum
230,Ceratium extensum,Ceratium extensum,837460,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,extensum
231,Ceratium gibberum,Ceratium gibberum,837222,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,gibberum
232,Ceratium hexacanthum,Ceratium hexacanthum,841248,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,hexacanthum
233,Ceratium inflatum,Ceratium inflatum,837455,1965,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,inflatum
235,Ceratium lamellicorne,Ceratium lamellicorne,837457,1965,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,lamellicorne
237,Ceratium massiliense,Ceratium massiliense,841261,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,massiliense
238,Ceratium minutum,Ceratium minutum,841263,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,minutum
240,Ceratium pentagonum,Ceratium pentagonum,841746,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,pentagonum
242,Ceratium platycorne,Ceratium platycorne,837461,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,platycorne
245,Ceratium setaceum,Ceratium setaceum,837446,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,setaceum
246,Ceratium teres,Ceratium teres,1381154,1958,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,teres
247,Ceratium trichoceros,Ceratium trichoceros,842517,1961,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,trichoceros
248,Ceratium vultur,Ceratium vultur,838205,1965,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,vultur
250,Cladopyxis spp.,Cladopyxis,109509,1965,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Cladopyxidaceae,Cladopyxis,
253,Gonyaulax spp.,Gonyaulax,109519,1960,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,
254,Oxytoxum spp.,Oxytoxum,109528,1958,Chromista,Myzozoa,Dinophyceae,Peridiniales,Oxytoxaceae,Oxytoxum,
257,Podolampas spp.,Podolampas,109550,1960,Chromista,Myzozoa,Dinophyceae,Peridiniales,Podolampadaceae,Podolampas,
258,Pronoctiluca pelagica,Pronoctiluca pelagica,109903,1958,Chromista,Myzozoa,Dinophyceae,Noctilucales,Protodiniferaceae,Pronoctiluca,pelagica
264,Ptychodiscus noctiluca,Ptychodiscus noctiluca,109888,1969,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Ptychodiscaceae,Ptychodiscus,noctiluca
271,Glenodinium spp.,Glenodinium,109538,1966,Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniales incertae sedis,Glenodinium,
275,Gymnodinium spp.,Gymnodinium,109475,1974,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,
750,Noctiluca scintillans,Noctiluca scintillans,109921,1981,Chromista,Myzozoa,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca,scintillans
950,Scrippsiella spp.,Scrippsiella,109545,1982,Chromista,Myzozoa,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,
980,Actiniscus pentasterias,Actiniscus pentasterias,109717,1980,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Actiniscaceae,Actiniscus,pentasterias
984,Gyrodinium spp.,Gyrodinium,109476,1978,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gyrodiniaceae,Gyrodinium,
10620,Prorocentrum spp. ('Exuviaella' type),Prorocentrum,109566,1960,Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,
