station,year,month,rain_mm,meant_c,soil_10cm_c,global_solar_radiation,pe_mm,evap_mm,degree_days_below_15_5
belmullet,2023,1,135.3,7.0,5.9,5949,20.3,26.8,264
belmullet,2023,2,66.1,8.3,7.5,11972,24.2,33.5,202
belmullet,2023,3,129.4,7.6,7.4,25485,34.1,52.4,245
belmullet,2023,4,60.5,9.8,9.7,41281,57.9,87.4,174
belmullet,2023,5,41.2,12.5,13.9,58229,79.6,119.6,100
belmullet,2023,6,56.6,16.7,18.0,60144,96.2,138.4,20
belmullet,2023,7,148.5,14.9,16.2,50367,79.8,118.4,36
belmullet,2023,8,117.2,15.7,16.2,42056,70.2,101.6,25
belmullet,2023,9,77.2,14.8,15.2,29328,51.0,71.1,52
belmullet,2023,10,100.0,11.7,12.0,16151,27.2,37.8,121
belmullet,2023,11,139.7,9.1,9.1,8443,18.9,23.6,193
belmullet,2023,12,186.0,7.9,7.7,4103,16.5,21.4,235
belmullet,2024,1,117.1,6.4,5.5,6702,19.2,25.9,284
belmullet,2024,2,115.4,8.0,7.3,12612,21.9,31.0,216
belmullet,2024,3,91.8,8.0,7.5,24312,37.7,55.9,234
belmullet,2024,4,95.2,9.6,9.8,42474,55.7,86.6,176
belmullet,2024,5,46.5,12.6,13.8,52261,75.8,111.5,98
belmullet,2024,6,55.6,12.4,14.7,52382,75.0,114.6,96
belmullet,2024,7,80.6,14.2,15.8,50829,77.2,113.9,54
belmullet,2024,8,208.1,14.7,15.3,42892,64.1,100.5,39
belmullet,2024,9,45.5,13.3,13.9,31466,49.5,70.5,79
belmullet,2024,10,132.1,11.7,11.7,16480,30.3,42.3,119
belmullet,2024,11,75.6,9.3,9.3,6548,16.1,21.2,186
belmullet,2024,12,133.5,8.3,7.4,4116,18.6,24.1,223
belmullet,2025,1,131.8,6.4,5.5,6348,16.4,22.1,281
belmullet,2025,2,115.4,7.3,6.0,13240,23.2,33.2,230
belmullet,2025,3,41.5,8.8,7.6,26937,38.6,56.9,208
belmullet,2025,4,77.9,11.3,10.1,45752,66.4,95.7,138
belmullet,2025,5,50.5,13.0,14.5,68816,95.7,140.2,100
belmullet,2025,6,100.3,14.2,15.2,49755,73.3,112.9,56
belmullet,2025,7,96.2,15.7,16.7,48665,75.1,110.1,27
belmullet,2025,8,89.6,16.5,16.9,43686,71.4,103.8,19
belmullet,2025,9,117.0,13.4,13.1,31395,49.5,72.7,70
belmullet,2025,10,132.4,11.6,11.4,13344,30.6,41.5,121
belmullet,2025,11,135.2,9.0,8.4,7546,18.7,24.3,195
belmullet,2025,12,143.2,7.6,6.6,4572,18.4,22.9,244
belmullet,2026,1,118.8,5.9,4.7,7013,15.1,19.2,298
belmullet,2026,2,76.0,7.2,6.0,10609,18.6,26.5,233
belmullet,2026,3,113.5,8.2,7.2,26594,37.9,59.6,227
belmullet,2026,4,123.1,9.5,9.0,40371,57.0,86.7,185
belmullet,2026,5,52.3,12.0,12.7,53808,75.1,116.9,118
belmullet,2026,6,127.4,14.0,15.0,52510,76.8,118.8,60
belmullet,2026,7,55.6,16.2,17.1,51211,82.8,121.4,20
belmullet,2026,8,91.2,15.5,16.2,40136,64.0,91.4,32
belmullet,2026,9,,,,,,,
belmullet,2026,10,,,,,,,
belmullet,2026,11,,,,,,,
belmullet,2026,12,,,,,,,
