station,year,month,rain_mm,meant_c,soil_10cm_c,global_solar_radiation,pe_mm,evap_mm,degree_days_below_15_5
mace-head,2023,1,108.9,7.2,,7718,20.2,28.3,257
mace-head,2023,2,35.2,8.1,,13092,22.4,32.2,206
mace-head,2023,3,151.2,7.7,,24892,34.9,55.3,243
mace-head,2023,4,66.3,9.8,,42425,57.7,91.7,171
mace-head,2023,5,30.6,12.9,,62877,84.9,130.1,92
mace-head,2023,6,56.1,17.0,,63207,102.9,149.4,16
mace-head,2023,7,111.8,15.1,,51618,78.5,125.9,28
mace-head,2023,8,92.3,15.8,,45184,70.0,108.4,19
mace-head,2023,9,155.0,15.2,,29489,51.7,74.0,41
mace-head,2023,10,132.5,11.7,,18767,26.6,39.2,119
mace-head,2023,11,79.1,9.3,,10075,20.0,27.4,186
mace-head,2023,12,143.1,8.6,,5598,18.2,25.5,213
mace-head,2024,1,76.5,6.4,,8428,18.5,25.7,284
mace-head,2024,2,95.2,8.2,,14428,20.5,31.4,210
mace-head,2024,3,98.3,8.0,,26578,36.1,58.2,232
mace-head,2024,4,88.8,9.9,,42984,55.7,90.3,170
mace-head,2024,5,51.8,12.7,,55331,77.2,117.0,94
mace-head,2024,6,46.9,12.8,,60701,80.4,130.3,85
mace-head,2024,7,48.9,14.6,,54503,80.0,123.0,42
mace-head,2024,8,140.1,15.3,,44819,65.9,108.5,24
mace-head,2024,9,17.2,13.9,,34004,55.2,79.6,67
mace-head,2024,10,91.5,12.3,,18469,32.3,46.3,103
mace-head,2024,11,104.7,9.7,,7363,17.3,23.2,174
mace-head,2024,12,70.8,8.6,,5117,17.5,24.1,214
mace-head,2025,1,105.0,6.5,,7845,15.4,21.5,279
mace-head,2025,2,128.1,7.4,,14143,21.9,33.3,226
mace-head,2025,3,26.4,9.2,,28948,42.3,63.2,198
mace-head,2025,4,69.7,11.4,,48249,70.9,105.5,133
mace-head,2025,5,54.6,13.7,,68832,97.5,145.5,76
mace-head,2025,6,100.4,14.6,,50825,74.3,119.5,43
mace-head,2025,7,103.5,16.0,,51157,77.0,118.5,19
mace-head,2025,8,70.4,16.6,,41491,69.7,104.4,12
mace-head,2025,9,123.3,13.8,,31306,50.9,79.0,56
mace-head,2025,10,133.4,11.9,,13810,32.7,47.0,112
mace-head,2025,11,154.0,9.4,,8625,17.7,24.7,184
mace-head,2025,12,134.3,8.1,,4707,21.8,28.4,230
mace-head,2026,1,130.4,6.4,,7095,16.7,22.0,282
mace-head,2026,2,87.3,7.5,,11388,17.2,26.6,224
mace-head,2026,3,91.0,8.4,,26575,36.2,59.9,219
mace-head,2026,4,109.8,10.1,,43073,62.3,99.1,166
mace-head,2026,5,52.1,12.4,,53961,76.4,119.7,108
mace-head,2026,6,93.4,14.7,,51506,76.9,122.6,51
mace-head,2026,7,9.4,17.1,,58742,97.0,140.4,14
mace-head,2026,8,61.1,16.2,,43388,70.4,102.9,19
mace-head,2026,9,,,,,,,
mace-head,2026,10,,,,,,,
mace-head,2026,11,,,,,,,
mace-head,2026,12,,,,,,,
