station,year,month,rain_mm,meant_c,soil_10cm_c,global_solar_radiation,pe_mm,evap_mm,degree_days_below_15_5
malin-head,2023,1,109.2,6.5,6.5,5884,20.7,27.7,278
malin-head,2023,2,55.6,7.8,7.5,10922,26.1,36.5,216
malin-head,2023,3,99.1,7.3,6.8,24960,37.2,56.1,256
malin-head,2023,4,68.0,9.3,9.2,42171,57.6,91.8,187
malin-head,2023,5,48.2,11.7,12.7,56056,74.6,115.6,122
malin-head,2023,6,66.8,15.1,16.1,64643,93.0,139.6,45
malin-head,2023,7,192.6,14.9,15.3,51128,79.9,124.5,38
malin-head,2023,8,117.4,15.3,15.1,43190,68.1,104.9,31
malin-head,2023,9,103.3,14.6,14.2,30117,51.2,74.4,54
malin-head,2023,10,114.6,11.7,12.0,14992,34.3,48.7,122
malin-head,2023,11,129.2,8.2,9.4,7185,20.8,26.7,218
malin-head,2023,12,214.2,7.6,8.1,3855,18.9,25.1,245
malin-head,2024,1,111.4,6.2,6.5,6054,22.4,29.6,288
malin-head,2024,2,111.0,7.2,6.7,11563,21.5,32.2,240
malin-head,2024,3,86.0,7.3,6.0,24003,37.1,59.5,253
malin-head,2024,4,86.8,8.7,8.6,41921,53.2,88.0,205
malin-head,2024,5,42.0,12.1,12.4,45159,62.9,96.5,110
malin-head,2024,6,60.9,12.2,13.3,53209,74.9,122.0,104
malin-head,2024,7,71.8,13.7,14.4,50213,73.6,113.0,65
malin-head,2024,8,181.3,14.5,13.9,38498,62.8,98.8,48
malin-head,2024,9,58.1,12.8,12.1,30805,48.2,72.1,89
malin-head,2024,10,64.3,11.7,10.2,15803,34.6,48.1,120
malin-head,2024,11,86.5,9.4,8.3,6316,22.0,28.0,184
malin-head,2024,12,105.9,8.1,7.2,2905,21.0,29.3,230
malin-head,2025,1,74.4,6.2,4.9,6932,21.4,27.6,290
malin-head,2025,2,63.2,6.9,5.4,11186,28.7,41.1,241
malin-head,2025,3,34.9,8.4,6.9,27442,41.5,61.9,220
malin-head,2025,4,61.2,10.3,8.8,46658,66.1,100.2,161
malin-head,2025,5,54.0,11.4,12.5,67998,82.8,129.3,129
malin-head,2025,6,111.9,14.2,14.0,50035,78.3,122.4,62
malin-head,2025,7,82.7,15.7,15.5,48347,77.1,116.3,27
malin-head,2025,8,61.5,16.0,15.6,43544,72.3,107.4,22
malin-head,2025,9,118.2,13.2,12.6,29128,51.1,74.9,77
malin-head,2025,10,116.6,11.4,11.3,11666,32.8,46.1,129
malin-head,2025,11,126.6,8.7,8.6,6972,24.8,33.1,204
malin-head,2025,12,78.0,7.5,7.0,4578,18.8,22.7,249
malin-head,2026,1,110.1,5.7,5.4,5492,21.9,30.9,304
malin-head,2026,2,88.8,6.6,6.0,9148,25.1,37.6,248
malin-head,2026,3,87.3,7.8,7.0,26328,40.0,63.3,239
malin-head,2026,4,66.9,9.0,8.6,45804,60.3,97.7,196
malin-head,2026,5,62.3,11.3,11.8,54834,73.3,117.0,138
malin-head,2026,6,107.2,13.7,14.1,51476,73.3,116.2,65
malin-head,2026,7,61.5,15.1,15.6,49249,70.8,111.3,27
malin-head,2026,8,87.7,15.3,15.0,38737,63.3,94.1,28
malin-head,2026,9,,,,,,,
malin-head,2026,10,,,,,,,
malin-head,2026,11,,,,,,,
malin-head,2026,12,,,,,,,
