station,year,month,rain_mm,meant_c,soil_10cm_c,global_solar_radiation,pe_mm,evap_mm,degree_days_below_15_5
Newport Furnace,2023,1,183.2,6.6,5.2,6245,14.3,18.8,275
Newport Furnace,2023,2,91.6,8.0,6.8,10639,20.9,28.2,210
Newport Furnace,2023,3,188.4,7.6,6.6,21429,33.0,47.6,246
Newport Furnace,2023,4,121.1,9.9,9.1,37277,56.4,81.6,171
Newport Furnace,2023,5,48.5,13.3,13.7,55732,83.3,118.2,85
Newport Furnace,2023,6,77.9,17.4,18.6,58473,100.6,137.1,18
Newport Furnace,2023,7,206.8,14.9,16.3,41797,70.1,99.5,39
Newport Furnace,2023,8,139.8,15.8,16.3,36857,64.4,89.1,26
Newport Furnace,2023,9,142.4,15.2,14.7,29338,50.1,67.8,53
Newport Furnace,2023,10,144.7,11.9,11.1,16225,26.1,35.5,118
Newport Furnace,2023,11,209.6,8.7,7.6,8326,14.2,18.4,203
Newport Furnace,2023,12,293.8,7.9,6.7,4411,14.7,19.0,237
Newport Furnace,2024,1,125.7,6.1,4.2,7248,15.4,20.2,293
Newport Furnace,2024,2,197.5,7.9,6.5,12401,18.2,25.4,221
Newport Furnace,2024,3,152.5,7.9,6.5,23032,36.0,51.9,234
Newport Furnace,2024,4,119.4,9.9,9.5,39685,56.9,83.7,169
Newport Furnace,2024,5,48.8,13.1,13.6,47333,74.7,104.9,91
Newport Furnace,2024,6,80.7,12.9,14.4,50366,76.7,109.8,89
Newport Furnace,2024,7,80.8,14.9,15.8,49632,80.9,112.6,45
Newport Furnace,2024,8,257.5,14.9,15.4,38203,60.8,88.3,41
Newport Furnace,2024,9,44.1,13.6,13.7,31451,49.0,67.8,77
Newport Furnace,2024,10,150.7,11.8,11.2,16628,27.6,37.5,117
Newport Furnace,2024,11,143.3,9.2,8.9,6586,14.2,18.4,191
Newport Furnace,2024,12,173.7,8.2,7.2,4121,15.6,20.0,228
Newport Furnace,2025,1,105.0,6.0,5.1,7308,12.9,17.1,294
Newport Furnace,2025,2,112.4,7.1,6.0,11955,22.0,30.5,235
Newport Furnace,2025,3,59.3,8.9,8.1,25430,39.5,55.3,205
Newport Furnace,2025,4,102.8,11.6,10.9,44615,70.1,97.0,132
Newport Furnace,2025,5,88.2,14.0,15.4,64505,100.3,139.0,82
Newport Furnace,2025,6,153.8,14.9,16.3,45465,76.4,107.8,49
Newport Furnace,2025,7,130.0,16.5,17.8,47402,80.3,110.6,23
Newport Furnace,2025,8,148.2,16.7,17.5,38468,68.6,94.7,21
Newport Furnace,2025,9,214.9,13.3,13.9,29164,45.4,64.1,76
Newport Furnace,2025,10,186.4,11.7,12.1,11727,28.0,37.1,121
Newport Furnace,2025,11,207.8,8.8,8.9,7736,13.9,18.2,201
Newport Furnace,2025,12,164.2,7.6,6.9,4441,15.1,18.6,246
Newport Furnace,2026,1,162.7,5.7,4.8,6741,11.3,15.1,305
Newport Furnace,2026,2,133.9,7.1,6.4,9232,17.5,24.2,234
Newport Furnace,2026,3,168.7,8.3,7.7,23734,37.0,53.8,224
Newport Furnace,2026,4,129.8,10.1,9.9,39941,62.0,89.3,167
Newport Furnace,2026,5,71.6,12.4,13.4,51760,77.3,111.8,111
Newport Furnace,2026,6,143.6,14.7,16.2,48990,78.8,112.5,55
Newport Furnace,2026,7,75.2,16.8,18.2,52874,89.2,123.6,19
Newport Furnace,2026,8,111.5,15.9,17.4,33943,59.2,80.3,29
Newport Furnace,2026,9,,,,,,,
Newport Furnace,2026,10,,,,,,,
Newport Furnace,2026,11,,,,,,,
Newport Furnace,2026,12,,,,,,,
