year,month,rain,meant,soil,solar_radiation_jcm2,pe,evap,dd_below_15_5,station_no,station_name,source
2023,1,135.3,7.0,5.9,5949.0,20.3,26.8,264.0,2375,Belmullet,prodapi_agmet_monthly
2023,2,66.1,8.3,7.5,11972.0,24.2,33.5,202.0,2375,Belmullet,prodapi_agmet_monthly
2023,3,129.4,7.6,7.4,25485.0,34.1,52.4,245.0,2375,Belmullet,prodapi_agmet_monthly
2023,4,60.5,9.8,9.7,41281.0,57.9,87.4,174.0,2375,Belmullet,prodapi_agmet_monthly
2023,5,41.2,12.5,13.9,58229.0,79.6,119.6,100.0,2375,Belmullet,prodapi_agmet_monthly
2023,6,56.6,16.7,18.0,60144.0,96.2,138.4,20.0,2375,Belmullet,prodapi_agmet_monthly
2023,7,148.5,14.9,16.2,50367.0,79.8,118.4,36.0,2375,Belmullet,prodapi_agmet_monthly
2023,8,117.2,15.7,16.2,42056.0,70.2,101.6,25.0,2375,Belmullet,prodapi_agmet_monthly
2023,9,77.2,14.8,15.2,29328.0,51.0,71.1,52.0,2375,Belmullet,prodapi_agmet_monthly
2023,10,100.0,11.7,12.0,16151.0,27.2,37.8,121.0,2375,Belmullet,prodapi_agmet_monthly
2023,11,139.7,9.1,9.1,8443.0,18.9,23.6,193.0,2375,Belmullet,prodapi_agmet_monthly
2023,12,186.0,7.9,7.7,4103.0,16.5,21.4,235.0,2375,Belmullet,prodapi_agmet_monthly
2024,1,117.1,6.4,5.5,6702.0,19.2,25.9,284.0,2375,Belmullet,prodapi_agmet_monthly
2024,2,115.4,8.0,7.3,12612.0,21.9,31.0,216.0,2375,Belmullet,prodapi_agmet_monthly
2024,3,91.8,8.0,7.5,24312.0,37.7,55.9,234.0,2375,Belmullet,prodapi_agmet_monthly
2024,4,95.2,9.6,9.8,42474.0,55.7,86.6,176.0,2375,Belmullet,prodapi_agmet_monthly
2024,5,46.5,12.6,13.8,52261.0,75.8,111.5,98.0,2375,Belmullet,prodapi_agmet_monthly
2024,6,55.6,12.4,14.7,52382.0,75.0,114.6,96.0,2375,Belmullet,prodapi_agmet_monthly
2024,7,80.6,14.2,15.8,50829.0,77.2,113.9,54.0,2375,Belmullet,prodapi_agmet_monthly
2024,8,208.1,14.7,15.3,42892.0,64.1,100.5,39.0,2375,Belmullet,prodapi_agmet_monthly
2024,9,45.5,13.3,13.9,31466.0,49.5,70.5,79.0,2375,Belmullet,prodapi_agmet_monthly
2024,10,132.1,11.7,11.7,16480.0,30.3,42.3,119.0,2375,Belmullet,prodapi_agmet_monthly
2024,11,75.6,9.3,9.3,6548.0,16.1,21.2,186.0,2375,Belmullet,prodapi_agmet_monthly
2024,12,133.5,8.3,7.4,4116.0,18.6,24.1,223.0,2375,Belmullet,prodapi_agmet_monthly
2025,1,131.8,6.4,5.5,6348.0,16.4,22.1,281.0,2375,Belmullet,prodapi_agmet_monthly
2025,2,115.4,7.3,6.0,13240.0,23.2,33.2,230.0,2375,Belmullet,prodapi_agmet_monthly
2025,3,41.5,8.8,7.6,26937.0,38.6,56.9,208.0,2375,Belmullet,prodapi_agmet_monthly
2025,4,77.9,11.3,10.1,45752.0,66.4,95.7,138.0,2375,Belmullet,prodapi_agmet_monthly
2025,5,50.5,13.0,14.5,68816.0,95.7,140.2,100.0,2375,Belmullet,prodapi_agmet_monthly
2025,6,100.3,14.2,15.2,49755.0,73.3,112.9,56.0,2375,Belmullet,prodapi_agmet_monthly
2025,7,96.2,15.7,16.7,48665.0,75.1,110.1,27.0,2375,Belmullet,prodapi_agmet_monthly
2025,8,89.6,16.5,16.9,43686.0,71.4,103.8,19.0,2375,Belmullet,prodapi_agmet_monthly
2025,9,117.0,13.4,13.1,31395.0,49.5,72.7,70.0,2375,Belmullet,prodapi_agmet_monthly
2025,10,132.4,11.6,11.4,13344.0,30.6,41.5,121.0,2375,Belmullet,prodapi_agmet_monthly
2025,11,135.2,9.0,8.4,7546.0,18.7,24.3,195.0,2375,Belmullet,prodapi_agmet_monthly
2025,12,143.2,7.6,6.6,4572.0,18.4,22.9,244.0,2375,Belmullet,prodapi_agmet_monthly
2026,1,118.8,5.9,4.7,7013.0,15.1,19.2,298.0,2375,Belmullet,prodapi_agmet_monthly
2026,2,76.0,7.2,6.0,10609.0,18.6,26.5,233.0,2375,Belmullet,prodapi_agmet_monthly
2026,3,113.5,8.2,7.2,26594.0,37.9,59.6,227.0,2375,Belmullet,prodapi_agmet_monthly
2026,4,123.1,9.5,9.0,40371.0,57.0,86.7,185.0,2375,Belmullet,prodapi_agmet_monthly
2026,5,52.3,12.0,12.7,53808.0,75.1,116.9,118.0,2375,Belmullet,prodapi_agmet_monthly
2026,6,127.4,14.0,15.0,52510.0,76.8,118.8,60.0,2375,Belmullet,prodapi_agmet_monthly
2026,7,55.6,16.2,17.1,51211.0,82.8,121.4,20.0,2375,Belmullet,prodapi_agmet_monthly
2026,8,91.2,15.5,16.2,40136.0,64.0,91.4,32.0,2375,Belmullet,prodapi_agmet_monthly
2026,9,,,,,,,,2375,Belmullet,prodapi_agmet_monthly
2026,10,,,,,,,,2375,Belmullet,prodapi_agmet_monthly
2026,11,,,,,,,,2375,Belmullet,prodapi_agmet_monthly
2026,12,,,,,,,,2375,Belmullet,prodapi_agmet_monthly
