iso_year,iso_week,week_start,year,month,nao,ea,amo,nao_lag1m,nao_lag2m,nao_lag3m,nao_roll3m,ea_lag1m,ea_lag2m,ea_lag3m,ea_roll3m,amo_lag1m,amo_lag2m,amo_lag3m,amo_roll3m,nao_daily_mean,nao_daily_min,nao_daily_max,nao_daily_n,nao_daily_mean_lag1w,nao_daily_mean_roll4w
1949,52,1949-12-26,1949.0,12.0,,,0.03,,,,,,,,,0.08,0.04,-0.02,0.04999999999999979,0.3650000095367431,0.3650000095367431,0.3650000095367431,1,,0.3650000095367431
1950,1,1950-01-02,1950.0,1.0,0.92,-2.71,-0.03,,,,0.92,,,,-2.71,0.03,0.08,0.04,0.026666666666666453,-0.24871428736618587,-0.6159999966621399,0.096000000834465,7,0.3650000095367431,0.05814286108527862
1950,2,1950-01-09,1950.0,1.0,0.92,-2.71,-0.03,,,,0.92,,,,-2.71,0.03,0.08,0.04,0.026666666666666453,0.26985714052404675,-0.4970000088214874,0.8790000081062317,7,-0.24871428736618587,0.128714287564868
1950,3,1950-01-16,1950.0,1.0,0.92,-2.71,-0.03,,,,0.92,,,,-2.71,0.03,0.08,0.04,0.026666666666666453,0.8228571329798017,0.4729999899864197,1.1979999542236328,7,0.26985714052404675,0.3022499989186014
1950,4,1950-01-23,1950.0,1.0,0.92,-2.71,-0.03,,,,0.92,,,,-2.71,0.03,0.08,0.04,0.026666666666666453,0.8937142661639622,0.4440000057220459,1.2869999408721924,7,0.8228571329798017,0.43442856307540617
1950,5,1950-01-30,1950.0,1.0,0.92,-2.71,-0.03,,,,0.92,,,,-2.71,0.03,0.08,0.04,0.026666666666666453,0.9255714246204921,0.8050000071525574,1.034999966621399,7,0.8937142661639622,0.7279999910720757
1950,6,1950-02-06,1950.0,2.0,0.4,0.66,-0.13,0.92,,,0.66,-2.71,,,-1.025,-0.03,0.03,0.08,-0.04333333333333355,0.5790000130821552,-0.0070000002160668,0.9330000281333924,7,0.9255714246204921,0.8052857092116028
1950,7,1950-02-13,1950.0,2.0,0.4,0.66,-0.13,0.92,,,0.66,-2.71,,,-1.025,-0.03,0.03,0.08,-0.04333333333333355,0.333428572331156,-0.0710000023245811,0.7649999856948853,7,0.5790000130821552,0.6829285690494413
1950,8,1950-02-20,1950.0,2.0,0.4,0.66,-0.13,0.92,,,0.66,-2.71,,,-1.025,-0.03,0.03,0.08,-0.04333333333333355,0.11685713912759509,-0.1539999991655349,0.5249999761581421,7,0.333428572331156,0.4887142872903496
1950,9,1950-02-27,1950.0,2.0,0.4,0.66,-0.13,0.92,,,0.66,-2.71,,,-1.025,-0.03,0.03,0.08,-0.04333333333333355,0.5952857152691909,-0.0509999990463256,1.2419999837875366,7,0.11685713912759509,0.4061428599525243
1950,10,1950-03-06,1950.0,3.0,-0.36,0.82,-0.16,0.4,0.92,,0.32,0.66,-2.71,,-0.41,-0.13,-0.03,0.03,-0.10666666666666687,-0.18285714515617915,-0.6850000023841858,0.6010000109672546,7,0.5952857152691909,0.21567857039294072
1950,11,1950-03-13,1950.0,3.0,-0.36,0.82,-0.16,0.4,0.92,,0.32,0.66,-2.71,,-0.41,-0.13,-0.03,0.03,-0.10666666666666687,-0.4924285752432686,-0.9520000219345092,-0.1019999980926513,7,-0.18285714515617915,0.009214283499334563
1950,12,1950-03-20,1950.0,3.0,-0.36,0.82,-0.16,0.4,0.92,,0.32,0.66,-2.71,,-0.41,-0.13,-0.03,0.03,-0.10666666666666687,-0.012999999736036574,-0.0769999995827674,0.0509999990463256,7,-0.4924285752432686,-0.023250001216573366
1950,13,1950-03-27,1950.0,3.0,-0.36,0.82,-0.16,0.4,0.92,,0.32,0.66,-2.71,,-0.41,-0.13,-0.03,0.03,-0.10666666666666687,0.3524285666644573,-0.31700000166893,1.0440000295639038,7,-0.012999999736036574,-0.08396428836775677
1950,14,1950-04-03,1950.0,4.0,0.73,0.28,-0.22,-0.36,0.4,0.92,0.25666666666666665,0.82,0.66,-2.71,0.5866666666666667,-0.16,-0.13,-0.03,-0.17000000000000023,0.5742857115609306,0.4650000035762787,0.7149999737739563,7,0.3524285666644573,0.10532142581152065
1950,15,1950-04-10,1950.0,4.0,0.73,0.28,-0.22,-0.36,0.4,0.92,0.25666666666666665,0.82,0.66,-2.71,0.5866666666666667,-0.16,-0.13,-0.03,-0.17000000000000023,0.5211428616728101,0.1309999972581863,0.9670000076293944,7,0.5742857115609306,0.35871428504054037
1950,16,1950-04-17,1950.0,4.0,0.73,0.28,-0.22,-0.36,0.4,0.92,0.25666666666666665,0.82,0.66,-2.71,0.5866666666666667,-0.16,-0.13,-0.03,-0.17000000000000023,0.49257142203194754,-0.4550000131130218,0.9980000257492064,7,0.5211428616728101,0.4851071404825364
1950,17,1950-04-24,1950.0,4.0,0.73,0.28,-0.22,-0.36,0.4,0.92,0.25666666666666665,0.82,0.66,-2.71,0.5866666666666667,-0.16,-0.13,-0.03,-0.17000000000000023,-0.7932857338871274,-1.3040000200271606,-0.0729999989271164,7,0.49257142203194754,0.19867856534464012
1950,18,1950-05-01,1950.0,5.0,-0.59,-0.51,-0.23,0.73,-0.36,0.4,-0.07333333333333332,0.28,0.82,0.66,0.19666666666666668,-0.22,-0.16,-0.13,-0.20333333333333356,0.2115714305213519,-0.0260000005364418,0.4930000007152557,7,-0.7932857338871274,0.10799999508474549
1950,19,1950-05-08,1950.0,5.0,-0.59,-0.51,-0.23,0.73,-0.36,0.4,-0.07333333333333332,0.28,0.82,0.66,0.19666666666666668,-0.22,-0.16,-0.13,-0.20333333333333356,0.1134285642100232,-0.7620000243186951,0.6340000033378601,7,0.2115714305213519,0.006071420719048766
1950,20,1950-05-15,1950.0,5.0,-0.59,-0.51,-0.23,0.73,-0.36,0.4,-0.07333333333333332,0.28,0.82,0.66,0.19666666666666668,-0.22,-0.16,-0.13,-0.20333333333333356,-0.7248571302209582,-0.977999985218048,-0.4939999878406524,7,0.1134285642100232,-0.29828571734417764
1950,21,1950-05-22,1950.0,5.0,-0.59,-0.51,-0.23,0.73,-0.36,0.4,-0.07333333333333332,0.28,0.82,0.66,0.19666666666666668,-0.22,-0.16,-0.13,-0.20333333333333356,-0.6498571378844125,-0.847000002861023,-0.421999990940094,7,-0.7248571302209582,-0.2624285683434989
