grower_label,site_key,location_id,location_name,iso_year,iso_week,week_start,week_label,risk_score,clim_score,risk_vs_clim,risk_band,risk_plain,count_dinophysis,y_dinophysis,y_dinophysis_nowcast,dsp_closure_risk,sst,status,role,split
Clifden,clifden,650,Cliffden Outer,2026,35,2026-08-24,2026-W35,0.19161676646706588,0.21385542168674698,-0.022238655219681103,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,40.0,0,0,,,active,nmp_core,test
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2026,35,2026-08-24,2026-W35,0.19161676646706588,0.21385542168674698,-0.022238655219681103,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,0.0,0,0,,,active,nmp_nearby,test
Killary Outer,killary_outer,175,Killary Harbour Outer,2026,35,2026-08-24,2026-W35,0.1491442542787286,0.21385542168674698,-0.06471116740801838,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,,active,nmp_core,test
Mannin,mannin,177,Mannin,2026,35,2026-08-24,2026-W35,0.26905829596412556,0.21385542168674698,0.05520287427737858,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,0.0,0,0,,,active,nmp_core,test
Ballynakill,ballynakill,163,Ballynakill,2026,34,2026-08-17,2026-W34,0.1491442542787286,0.218707015130674,-0.0695627608519454,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,,active,nmp_core,test
Clifden,clifden,650,Cliffden Outer,2026,34,2026-08-17,2026-W34,0.25,0.218707015130674,0.031292984869325996,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,0.0,0,0,,,active,nmp_core,test
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2026,34,2026-08-17,2026-W34,0.26905829596412556,0.218707015130674,0.050351280833451556,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,0.0,0,0,,,active,nmp_nearby,test
Killary Middle,killary_middle,172,Killary Harbour Middle,2026,34,2026-08-17,2026-W34,0.1491442542787286,0.218707015130674,-0.0695627608519454,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,,active,nmp_core,test
Mannin,mannin,177,Mannin,2026,34,2026-08-17,2026-W34,0.26905829596412556,0.218707015130674,0.050351280833451556,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,40.0,0,0,,,active,nmp_core,test
Rosmuc,rosmuc,174,Rosmuc,2026,34,2026-08-17,2026-W34,0.050505050505050504,0.218707015130674,-0.1682019646256235,Lower,"Lower watch — below typical risk for this week-of-year, or quiet conditions. Still follow official notices.",0.0,0,0,,,active_oisst_gap,nmp_core,test
Ballynakill,ballynakill,163,Ballynakill,2026,33,2026-08-10,2026-W33,0.1016260162601626,0.2474964234620887,-0.1458704072019261,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,16.15,active,nmp_core,test
Clifden,clifden,650,Cliffden Outer,2026,33,2026-08-10,2026-W33,0.26905829596412556,0.2474964234620887,0.021561872502036866,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,80.0,0,0,,16.73,active,nmp_core,test
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2026,33,2026-08-10,2026-W33,0.1491442542787286,0.2474964234620887,-0.0983521691833601,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,16.27,active,nmp_nearby,test
Killary Outer,killary_outer,175,Killary Harbour Outer,2026,33,2026-08-10,2026-W33,0.1491442542787286,0.2474964234620887,-0.0983521691833601,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,16.15,active,nmp_core,test
Ballynakill,ballynakill,163,Ballynakill,2026,32,2026-08-03,2026-W32,0.0673758865248227,0.24818577648766327,-0.1808098899628406,Lower,"Lower watch — below typical risk for this week-of-year, or quiet conditions. Still follow official notices.",0.0,0,0,,15.69,active,nmp_core,test
Clifden,clifden,650,Cliffden Outer,2026,32,2026-08-03,2026-W32,0.36363636363636365,0.24818577648766327,0.11545058714870038,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,0.0,0,0,,16.15,active,nmp_core,test
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2026,32,2026-08-03,2026-W32,0.1016260162601626,0.24818577648766327,-0.14655976022750067,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,15.71,active,nmp_nearby,test
Killary Outer,killary_outer,175,Killary Harbour Outer,2026,32,2026-08-03,2026-W32,0.1016260162601626,0.24818577648766327,-0.14655976022750067,Moderate,Moderate watch — some seasonal / SST-linked risk. Keep an eye on MI bulletins and recent cell counts.,0.0,0,0,,15.69,active,nmp_core,test
Mannin,mannin,177,Mannin,2026,32,2026-08-03,2026-W32,0.26905829596412556,0.24818577648766327,0.020872519476462292,Higher,Higher watch — elevated chance Dinophysis is at or above 100 cells/L in this or next week. Check MI bulletins before harvest plans.,80.0,0,0,,16.15,active,nmp_core,test
Rosmuc,rosmuc,174,Rosmuc,2026,32,2026-08-03,2026-W32,0.0673758865248227,0.24818577648766327,-0.1808098899628406,Lower,"Lower watch — below typical risk for this week-of-year, or quiet conditions. Still follow official notices.",0.0,0,0,,,active_oisst_gap,nmp_core,test
Ballynakill,ballynakill,163,Ballynakill,2026,31,2026-07-27,2026-W31,0.0673758865248227,0.29878048780487804,-0.23140460128005536,Lower,"Lower watch — below typical risk for this week-of-year, or quiet conditions. Still follow official notices.",0.0,0,0,,15.57,active,nmp_core,test
