site,variable,period,value,unit,agg,east,north,dist_m,lat_ref,lon_ref,n_cells,source_file
belmullet,RR,ANN,1318.6,mm,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_RR_9120_V2.txt
belmullet,RR,JJA,277.3,mm,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_RR_9120_V2.txt
belmullet,RR,m6,77.9,mm,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_RR_9120_V2.txt
belmullet,TMAX,ANN,13.1,degC,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_TMAX_9120_V2.txt
belmullet,TMAX,JJA,17.1,degC,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_TMAX_9120_V2.txt
belmullet,TMAX,m6,16.1,degC,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_TMAX_9120_V2.txt
belmullet,TMEAN,ANN,10.4,degC,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_TMEAN_9120_V2.txt
belmullet,TMEAN,JJA,14.4,degC,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_TMEAN_9120_V2.txt
belmullet,TMEAN,m6,13.4,degC,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_TMEAN_9120_V2.txt
belmullet,TMIN,ANN,7.7,degC,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_TMIN_9120_V2.txt
belmullet,TMIN,JJA,11.6,degC,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_TMIN_9120_V2.txt
belmullet,TMIN,m6,10.6,degC,nearest_cell,69000.0,333000.0,209.6,54.228,-10.007,1,IE_TMIN_9120_V2.txt
connemara_bbox,RR,ANN,1712.935,mm,bbox_mean,,,,,,1303,IE_RR_9120_V2.txt
connemara_bbox,RR,ANN,1624.8,mm,bbox_median,,,,,,1303,IE_RR_9120_V2.txt
connemara_bbox,RR,JJA,367.671,mm,bbox_mean,,,,,,1303,IE_RR_9120_V2.txt
connemara_bbox,RR,JJA,352.0,mm,bbox_median,,,,,,1303,IE_RR_9120_V2.txt
connemara_bbox,RR,m6,105.683,mm,bbox_mean,,,,,,1303,IE_RR_9120_V2.txt
connemara_bbox,RR,m6,101.5,mm,bbox_median,,,,,,1303,IE_RR_9120_V2.txt
connemara_bbox,TMAX,ANN,13.209,degC,bbox_mean,,,,,,1303,IE_TMAX_9120_V2.txt
connemara_bbox,TMAX,ANN,13.4,degC,bbox_median,,,,,,1303,IE_TMAX_9120_V2.txt
connemara_bbox,TMAX,JJA,17.688,degC,bbox_mean,,,,,,1303,IE_TMAX_9120_V2.txt
connemara_bbox,TMAX,JJA,17.8,degC,bbox_median,,,,,,1303,IE_TMAX_9120_V2.txt
connemara_bbox,TMAX,m6,16.986,degC,bbox_mean,,,,,,1303,IE_TMAX_9120_V2.txt
connemara_bbox,TMAX,m6,17.1,degC,bbox_median,,,,,,1303,IE_TMAX_9120_V2.txt
connemara_bbox,TMEAN,ANN,10.079,degC,bbox_mean,,,,,,1303,IE_TMEAN_9120_V2.txt
connemara_bbox,TMEAN,ANN,10.3,degC,bbox_median,,,,,,1303,IE_TMEAN_9120_V2.txt
connemara_bbox,TMEAN,JJA,14.388,degC,bbox_mean,,,,,,1303,IE_TMEAN_9120_V2.txt
connemara_bbox,TMEAN,JJA,14.6,degC,bbox_median,,,,,,1303,IE_TMEAN_9120_V2.txt
connemara_bbox,TMEAN,m6,13.437,degC,bbox_mean,,,,,,1303,IE_TMEAN_9120_V2.txt
connemara_bbox,TMEAN,m6,13.7,degC,bbox_median,,,,,,1303,IE_TMEAN_9120_V2.txt
connemara_bbox,TMIN,ANN,6.95,degC,bbox_mean,,,,,,1303,IE_TMIN_9120_V2.txt
connemara_bbox,TMIN,ANN,7.1,degC,bbox_median,,,,,,1303,IE_TMIN_9120_V2.txt
connemara_bbox,TMIN,JJA,11.087,degC,bbox_mean,,,,,,1303,IE_TMIN_9120_V2.txt
connemara_bbox,TMIN,JJA,11.2,degC,bbox_median,,,,,,1303,IE_TMIN_9120_V2.txt
connemara_bbox,TMIN,m6,9.911,degC,bbox_mean,,,,,,1303,IE_TMIN_9120_V2.txt
connemara_bbox,TMIN,m6,10.1,degC,bbox_median,,,,,,1303,IE_TMIN_9120_V2.txt
killary,RR,ANN,1896.1,mm,nearest_cell,77000.0,265000.0,691.0,53.62,-9.87,1,IE_RR_9120_V2.txt
killary,RR,JJA,410.4,mm,nearest_cell,77000.0,265000.0,691.0,53.62,-9.87,1,IE_RR_9120_V2.txt
killary,RR,m6,114.6,mm,nearest_cell,77000.0,265000.0,691.0,53.62,-9.87,1,IE_RR_9120_V2.txt
