year,oisst_june_sst,oisst_n_days,ostia_june_sst,ostia_n_days
2002,12.365845528455285,30,12.812764946650587,30.0
2003,13.613028455284553,30,13.52782451198821,30.0
2004,13.910060975609756,30,13.664694074146329,30.0
2005,13.88620731707317,30,13.557634495218846,30.0
2006,13.817760162601624,30,13.859987145465569,30.0
2007,14.624455284552846,30,14.310418697394418,30.0
2008,13.688853658536585,30,13.793333362736396,30.0
2009,14.312752032520326,30,13.652826119500165,30.0
2010,14.346162601626016,30,13.880439640982654,30.0
2011,12.681520325203252,30,12.764752065276094,30.0
2012,13.00011382113821,30,13.030967840324097,30.0
2013,13.139414634146341,30,13.088932412297408,30.0
2014,14.73840650406504,30,13.662697294802877,30.0
2015,12.582983739837399,30,12.631497639913176,30.0
2016,14.686499999999999,30,13.829705342599746,30.0
2017,13.909418699186993,30,13.389562035207442,30.0
2018,14.903365853658537,30,14.242206138532614,30.0
2019,13.695516260162602,30,13.277995210003892,30.0
2020,13.451971544715446,30,13.286557206591906,30.0
2021,13.41439837398374,30,13.264363970372987,30.0
2022,13.879463414634147,30,13.636858325976236,30.0
2023,15.97270325203252,30,15.41556682084058,30.0
2024,13.196682926829267,30,13.349404226121143,30.0
2025,14.377922624053825,29,14.053162664497195,30.0
2026,14.235281749369218,29,,
