year,annual_mean_c,anom_vs_1961_1990
1900,9.33,-0.2190000000000012
1901,9.13,-0.4190000000000005
1902,9.17,-0.37900000000000134
1903,9.12,-0.42900000000000205
1904,9.08,-0.4690000000000012
1905,9.3,-0.24900000000000055
1906,9.3,-0.24900000000000055
1907,9.0,-0.5490000000000013
1908,9.67,0.12099999999999866
1909,8.9,-0.6490000000000009
1910,9.15,-0.3990000000000009
1911,9.61,0.06099999999999817
1912,9.16,-0.3890000000000011
1913,9.39,-0.1590000000000007
1914,9.6,0.05099999999999838
1915,8.95,-0.599000000000002
1916,9.28,-0.2690000000000019
1917,8.76,-0.7890000000000015
1918,9.5,-0.049000000000001265
1919,8.73,-0.8190000000000008
1920,9.5,-0.049000000000001265
1921,10.47,0.9209999999999994
1922,8.98,-0.5690000000000008
1923,9.2,-0.349000000000002
1924,9.39,-0.1590000000000007
1925,9.12,-0.42900000000000205
1926,9.82,0.270999999999999
1927,9.37,-0.17900000000000205
1928,9.57,0.02099999999999902
1929,9.44,-0.10900000000000176
1930,9.19,-0.35900000000000176
1931,9.52,-0.02900000000000169
1932,9.71,0.1609999999999996
1933,10.04,0.4909999999999979
1934,10.0,0.45099999999999874
1935,9.6,0.05099999999999838
1936,9.6,0.05099999999999838
1937,9.47,-0.07900000000000063
1938,9.99,0.44099999999999895
1939,9.76,0.21099999999999852
1940,9.71,0.1609999999999996
1941,9.4,-0.1490000000000009
1942,9.65,0.10099999999999909
1943,10.19,0.6409999999999982
1944,9.96,0.4109999999999996
1945,10.68,1.1309999999999985
1946,9.66,0.11099999999999888
1947,9.59,0.04099999999999859
1948,10.14,0.5909999999999993
1949,10.63,1.0809999999999995
1950,9.52,-0.02900000000000169
1951,9.28,-0.2690000000000019
1952,9.43,-0.11900000000000155
1953,10.13,0.5809999999999995
1954,9.47,-0.07900000000000063
1955,9.67,0.12099999999999866
1956,9.47,-0.07900000000000063
1957,10.08,0.5309999999999988
1958,9.73,0.18099999999999916
1959,10.44,0.8909999999999982
1960,9.68,0.13099999999999845
1961,9.85,0.3009999999999984
1962,9.05,-0.49900000000000055
1963,8.86,-0.6890000000000018
1964,9.78,0.2309999999999981
1965,9.16,-0.3890000000000011
1966,9.65,0.10099999999999909
1967,9.5,-0.049000000000001265
1968,9.54,-0.009000000000002117
1969,9.29,-0.2590000000000021
1970,9.58,0.030999999999998806
1971,10.09,0.5409999999999986
1972,9.12,-0.42900000000000205
1973,9.79,0.24099999999999788
1974,9.4,-0.1490000000000009
1975,10.03,0.4809999999999981
1976,9.82,0.270999999999999
1977,9.45,-0.09900000000000198
1978,9.57,0.02099999999999902
1979,8.81,-0.7390000000000008
1980,9.47,-0.07900000000000063
1981,9.55,0.0009999999999994458
1982,9.74,0.19099999999999895
1983,10.05,0.5009999999999994
1984,9.65,0.10099999999999909
1985,9.15,-0.3990000000000009
1986,8.76,-0.7890000000000015
1987,9.41,-0.13900000000000112
1988,9.82,0.270999999999999
1989,10.24,0.690999999999999
1990,10.29,0.7409999999999979
1991,9.79,0.24099999999999788
1992,9.78,0.2309999999999981
1993,9.58,0.030999999999998806
1994,9.83,0.2809999999999988
1995,10.42,0.8709999999999987
1996,9.5,-0.049000000000001265
1997,10.58,1.0309999999999988
1998,10.39,0.8409999999999993
1999,10.36,0.8109999999999982
2000,9.97,0.4209999999999994
2001,9.9,0.3509999999999991
2002,10.36,0.8109999999999982
2003,10.47,0.9209999999999994
2004,10.41,0.8609999999999989
2005,10.56,1.0109999999999992
2006,10.65,1.100999999999999
2007,10.73,1.1809999999999992
2008,10.13,0.5809999999999995
2009,10.12,0.570999999999998
2010,9.08,-0.4690000000000012
2011,10.31,0.7609999999999992
2012,9.96,0.4109999999999996
2013,10.01,0.4609999999999985
2014,10.5,0.9509999999999987
2015,9.89,0.3409999999999993
2016,10.29,0.7409999999999979
2017,10.53,0.9809999999999981
2018,10.25,0.7009999999999987
2019,10.46,0.9109999999999996
2020,10.37,0.820999999999998
2021,10.52,0.9709999999999983
2022,10.85,1.3009999999999984
2023,11.21,1.6609999999999996
2024,10.72,1.1709999999999994
