q_source,lag,lag_weeks,n_pairs,spearman_rho,p_value,stations
corrib,lag0d,0,108,0.0635,0.5135,pooled_focus
corrib,lag0d,0,19,0.0258,0.9163,Rosmuc_174
corrib,lag0d,0,14,-0.2923,0.3105,Mannin_177
owenboliskey,lag0d,0,108,0.0395,0.6846,pooled_focus
owenboliskey,lag0d,0,19,-0.0455,0.8531,Rosmuc_174
owenboliskey,lag0d,0,14,-0.1324,0.6519,Mannin_177
corrib,lag7d,1,108,-0.0331,0.7335,pooled_focus
corrib,lag7d,1,19,-0.1182,0.63,Rosmuc_174
corrib,lag7d,1,14,-0.3447,0.2274,Mannin_177
owenboliskey,lag7d,1,108,0.0729,0.4537,pooled_focus
owenboliskey,lag7d,1,19,-0.0271,0.9124,Rosmuc_174
owenboliskey,lag7d,1,14,-0.2923,0.3105,Mannin_177
corrib,lag14d,2,108,-0.0235,0.8094,pooled_focus
corrib,lag14d,2,19,-0.1268,0.605,Rosmuc_174
corrib,lag14d,2,14,-0.011,0.9701,Mannin_177
owenboliskey,lag14d,2,108,-0.0124,0.899,pooled_focus
owenboliskey,lag14d,2,19,-0.048,0.8453,Rosmuc_174
owenboliskey,lag14d,2,14,-0.1103,0.7074,Mannin_177
