year,month,rain,meant,solar_radiation_jcm2,pe,evap,dd_below_15_5,station_no,station_name,source
2023,1,108.9,7.2,7718.0,20.2,28.3,257.0,275,Mace Head,prodapi_agmet_monthly
2023,2,35.2,8.1,13092.0,22.4,32.2,206.0,275,Mace Head,prodapi_agmet_monthly
2023,3,151.2,7.7,24892.0,34.9,55.3,243.0,275,Mace Head,prodapi_agmet_monthly
2023,4,66.3,9.8,42425.0,57.7,91.7,171.0,275,Mace Head,prodapi_agmet_monthly
2023,5,30.6,12.9,62877.0,84.9,130.1,92.0,275,Mace Head,prodapi_agmet_monthly
2023,6,56.1,17.0,63207.0,102.9,149.4,16.0,275,Mace Head,prodapi_agmet_monthly
2023,7,111.8,15.1,51618.0,78.5,125.9,28.0,275,Mace Head,prodapi_agmet_monthly
2023,8,92.3,15.8,45184.0,70.0,108.4,19.0,275,Mace Head,prodapi_agmet_monthly
2023,9,155.0,15.2,29489.0,51.7,74.0,41.0,275,Mace Head,prodapi_agmet_monthly
2023,10,132.5,11.7,18767.0,26.6,39.2,119.0,275,Mace Head,prodapi_agmet_monthly
2023,11,79.1,9.3,10075.0,20.0,27.4,186.0,275,Mace Head,prodapi_agmet_monthly
2023,12,143.1,8.6,5598.0,18.2,25.5,213.0,275,Mace Head,prodapi_agmet_monthly
2024,1,76.5,6.4,8428.0,18.5,25.7,284.0,275,Mace Head,prodapi_agmet_monthly
2024,2,95.2,8.2,14428.0,20.5,31.4,210.0,275,Mace Head,prodapi_agmet_monthly
2024,3,98.3,8.0,26578.0,36.1,58.2,232.0,275,Mace Head,prodapi_agmet_monthly
2024,4,88.8,9.9,42984.0,55.7,90.3,170.0,275,Mace Head,prodapi_agmet_monthly
2024,5,51.8,12.7,55331.0,77.2,117.0,94.0,275,Mace Head,prodapi_agmet_monthly
2024,6,46.9,12.8,60701.0,80.4,130.3,85.0,275,Mace Head,prodapi_agmet_monthly
2024,7,48.9,14.6,54503.0,80.0,123.0,42.0,275,Mace Head,prodapi_agmet_monthly
2024,8,140.1,15.3,44819.0,65.9,108.5,24.0,275,Mace Head,prodapi_agmet_monthly
2024,9,17.2,13.9,34004.0,55.2,79.6,67.0,275,Mace Head,prodapi_agmet_monthly
2024,10,91.5,12.3,18469.0,32.3,46.3,103.0,275,Mace Head,prodapi_agmet_monthly
2024,11,104.7,9.7,7363.0,17.3,23.2,174.0,275,Mace Head,prodapi_agmet_monthly
2024,12,70.8,8.6,5117.0,17.5,24.1,214.0,275,Mace Head,prodapi_agmet_monthly
2025,1,105.0,6.5,7845.0,15.4,21.5,279.0,275,Mace Head,prodapi_agmet_monthly
2025,2,128.1,7.4,14143.0,21.9,33.3,226.0,275,Mace Head,prodapi_agmet_monthly
2025,3,26.4,9.2,28948.0,42.3,63.2,198.0,275,Mace Head,prodapi_agmet_monthly
2025,4,69.7,11.4,48249.0,70.9,105.5,133.0,275,Mace Head,prodapi_agmet_monthly
2025,5,54.6,13.7,68832.0,97.5,145.5,76.0,275,Mace Head,prodapi_agmet_monthly
2025,6,100.4,14.6,50825.0,74.3,119.5,43.0,275,Mace Head,prodapi_agmet_monthly
2025,7,103.5,16.0,51157.0,77.0,118.5,19.0,275,Mace Head,prodapi_agmet_monthly
2025,8,70.4,16.6,41491.0,69.7,104.4,12.0,275,Mace Head,prodapi_agmet_monthly
2025,9,123.3,13.8,31306.0,50.9,79.0,56.0,275,Mace Head,prodapi_agmet_monthly
2025,10,133.4,11.9,13810.0,32.7,47.0,112.0,275,Mace Head,prodapi_agmet_monthly
2025,11,154.0,9.4,8625.0,17.7,24.7,184.0,275,Mace Head,prodapi_agmet_monthly
2025,12,134.3,8.1,4707.0,21.8,28.4,230.0,275,Mace Head,prodapi_agmet_monthly
2026,1,130.4,6.4,7095.0,16.7,22.0,282.0,275,Mace Head,prodapi_agmet_monthly
2026,2,87.3,7.5,11388.0,17.2,26.6,224.0,275,Mace Head,prodapi_agmet_monthly
2026,3,91.0,8.4,26575.0,36.2,59.9,219.0,275,Mace Head,prodapi_agmet_monthly
2026,4,109.8,10.1,43073.0,62.3,99.1,166.0,275,Mace Head,prodapi_agmet_monthly
2026,5,52.1,12.4,53961.0,76.4,119.7,108.0,275,Mace Head,prodapi_agmet_monthly
2026,6,93.4,14.7,51506.0,76.9,122.6,51.0,275,Mace Head,prodapi_agmet_monthly
2026,7,9.4,17.1,58742.0,97.0,140.4,14.0,275,Mace Head,prodapi_agmet_monthly
2026,8,61.1,16.2,43388.0,70.4,102.9,19.0,275,Mace Head,prodapi_agmet_monthly
2026,9,,,,,,,275,Mace Head,prodapi_agmet_monthly
2026,10,,,,,,,275,Mace Head,prodapi_agmet_monthly
2026,11,,,,,,,275,Mace Head,prodapi_agmet_monthly
2026,12,,,,,,,275,Mace Head,prodapi_agmet_monthly
