date,wdsp,hm,ddhm,hg,glorad,maxtp,mintp,rain,soil,cbl,pe,evap,station_no,station_name
2003-08-14,6.7,13.0,60.0,17.0,2432.0,19.2,9.0,0.0,,1020.2,,,275,Mace Head
2003-08-15,6.5,12.0,280.0,15.0,2284.0,19.3,11.2,0.0,,1018.7,,,275,Mace Head
2003-08-16,5.7,10.0,200.0,13.0,2084.0,19.4,11.0,0.0,,1015.6,,,275,Mace Head
2003-08-17,16.9,26.0,180.0,34.0,954.0,17.0,14.4,3.3,,1008.3,,,275,Mace Head
2003-08-18,18.5,23.0,270.0,28.0,1225.0,17.1,13.1,0.2,,1011.9,,,275,Mace Head
2003-08-19,15.1,22.0,260.0,26.0,1211.0,16.5,12.6,0.5,,1017.5,,,275,Mace Head
2003-08-20,13.9,22.0,210.0,28.0,1242.0,18.0,14.1,0.9,,1015.2,,,275,Mace Head
2003-08-21,20.6,27.0,220.0,34.0,446.0,17.2,14.7,0.4,,1009.0,,,275,Mace Head
2003-08-22,9.9,16.0,250.0,19.0,679.0,17.6,14.5,3.8,,1012.2,,,275,Mace Head
2003-08-23,7.0,14.0,230.0,18.0,982.0,20.1,16.2,1.0,,1017.3,,,275,Mace Head
2003-08-24,12.8,20.0,90.0,26.0,1648.0,26.1,16.9,0.0,,1017.6,,,275,Mace Head
2003-08-25,14.8,21.0,100.0,28.0,1074.0,21.3,14.7,0.2,,1016.2,,,275,Mace Head
2003-08-26,14.4,21.0,80.0,28.0,1144.0,19.8,13.9,0.0,,1014.6,,,275,Mace Head
2003-08-27,12.5,19.0,60.0,24.0,1919.0,21.0,12.9,0.0,,1012.7,,,275,Mace Head
2003-08-28,10.3,15.0,20.0,21.0,1331.0,17.5,10.1,0.0,,1009.8,,,275,Mace Head
2003-08-29,9.9,21.0,330.0,26.0,1931.0,18.1,11.4,0.2,,1015.2,,,275,Mace Head
2003-08-30,9.1,16.0,310.0,23.0,1741.0,17.4,10.0,0.2,,1020.4,,,275,Mace Head
2003-08-31,8.8,19.0,350.0,23.0,1137.0,17.1,11.1,0.0,,1022.8,,,275,Mace Head
2003-09-01,,12.0,290.0,15.0,,,,,,,,,275,Mace Head
2003-09-02,6.6,12.0,280.0,14.0,1726.0,18.2,12.5,0.0,,1026.5,,,275,Mace Head
2003-09-03,5.3,11.0,220.0,14.0,1357.0,18.0,13.4,0.2,,1026.2,,,275,Mace Head
2003-09-04,13.5,17.0,210.0,22.0,1168.0,17.8,14.8,0.2,,1019.5,,,275,Mace Head
2003-09-05,10.2,23.0,170.0,31.0,1196.0,17.5,11.7,10.8,,1012.8,,,275,Mace Head
2003-09-06,13.2,19.0,180.0,27.0,1766.0,16.9,11.8,3.4,,1012.0,,,275,Mace Head
2003-09-07,11.3,19.0,190.0,24.0,1256.0,16.1,9.9,12.2,,1007.3,,,275,Mace Head
2003-09-08,10.9,22.0,320.0,29.0,1667.0,16.4,9.3,0.3,,1010.8,,,275,Mace Head
2003-09-09,17.1,25.0,280.0,32.0,553.0,16.1,11.9,2.4,,1010.2,,,275,Mace Head
2003-09-10,14.1,26.0,290.0,33.0,900.0,17.5,13.3,1.9,,1010.5,,,275,Mace Head
2003-09-11,19.4,30.0,270.0,37.0,1461.0,16.9,14.1,1.7,,1017.0,,,275,Mace Head
2003-09-12,,20.0,150.0,27.0,,,,,,,,,275,Mace Head
2003-10-07,18.2,34.0,280.0,40.0,390.0,14.2,11.4,1.5,,1011.7,,,275,Mace Head
2003-10-08,20.8,24.0,270.0,31.0,692.0,15.5,13.2,0.4,,1017.7,,,275,Mace Head
2003-10-09,20.4,26.0,240.0,39.0,343.0,15.3,12.1,0.2,,1014.8,,,275,Mace Head
2003-10-10,10.3,18.0,280.0,21.0,841.0,14.6,12.2,0.5,,1015.7,,,275,Mace Head
2003-10-11,11.1,18.0,150.0,22.0,515.0,15.5,13.3,0.3,,1016.8,,,275,Mace Head
2003-10-12,12.6,19.0,160.0,26.0,194.0,14.8,12.6,0.0,,1013.8,,,275,Mace Head
2003-10-13,9.9,15.0,140.0,20.0,1029.0,17.0,10.8,0.1,,1013.6,,,275,Mace Head
2003-10-14,12.8,18.0,120.0,24.0,789.0,17.2,12.9,0.0,,1017.3,,,275,Mace Head
2003-10-15,13.5,19.0,90.0,25.0,384.0,14.1,8.7,0.0,,1021.6,,,275,Mace Head
2003-10-16,12.7,17.0,110.0,22.0,376.0,13.7,7.0,0.0,,1022.3,,,275,Mace Head
2003-10-17,14.8,23.0,100.0,28.0,1037.0,14.1,7.4,0.0,,1019.3,,,275,Mace Head
2003-10-18,12.9,23.0,80.0,29.0,793.0,13.2,6.2,0.0,,1016.1,,,275,Mace Head
2003-10-19,11.9,18.0,50.0,23.0,735.0,10.8,6.0,0.0,,1014.7,,,275,Mace Head
2003-10-20,8.9,18.0,60.0,24.0,932.0,10.9,2.7,0.9,,1015.7,,,275,Mace Head
2003-10-21,8.4,15.0,350.0,24.0,753.0,9.7,3.3,3.4,,1012.2,,,275,Mace Head
2003-10-22,10.6,20.0,20.0,27.0,970.0,9.6,1.7,0.0,,1013.9,,,275,Mace Head
2003-10-23,7.9,15.0,60.0,19.0,921.0,11.5,2.8,0.0,,1021.4,,,275,Mace Head
2003-10-24,7.7,20.0,340.0,24.0,842.0,11.2,3.7,0.1,,1027.2,,,275,Mace Head
2003-10-25,10.7,26.0,310.0,33.0,465.0,11.6,4.4,0.4,,1023.9,,,275,Mace Head
2003-10-26,6.3,17.0,330.0,25.0,718.0,12.0,5.9,0.8,,1018.2,,,275,Mace Head
2003-10-27,7.1,14.0,240.0,17.0,596.0,13.3,6.0,0.1,,1017.0,,,275,Mace Head
2003-10-28,12.1,19.0,260.0,25.0,399.0,12.7,9.8,0.9,,1005.6,,,275,Mace Head
2003-11-01,18.0,38.0,180.0,49.0,150.0,12.9,3.6,6.6,,988.2,,,275,Mace Head
2003-11-02,23.3,32.0,250.0,43.0,515.0,11.9,8.7,8.4,,976.1,,,275,Mace Head
2003-11-03,21.5,33.0,300.0,48.0,540.0,12.0,8.8,2.1,,993.4,,,275,Mace Head
2003-11-04,26.1,35.0,180.0,45.0,97.0,14.6,10.9,2.4,,1005.2,,,275,Mace Head
2003-11-05,22.9,34.0,270.0,42.0,71.0,13.9,11.6,7.6,,1000.8,,,275,Mace Head
2003-11-06,17.9,27.0,120.0,36.0,492.0,14.9,9.6,0.0,,1011.3,,,275,Mace Head
2003-11-07,16.5,25.0,140.0,31.0,192.0,16.0,9.0,0.0,,1014.2,,,275,Mace Head
2003-11-08,20.5,27.0,110.0,36.0,361.0,10.4,7.0,0.0,,1010.2,,,275,Mace Head
2003-11-09,20.3,25.0,100.0,37.0,351.0,13.2,6.7,10.6,,1002.0,,,275,Mace Head
2003-11-10,15.3,24.0,150.0,30.0,433.0,12.2,10.1,4.8,,1009.4,,,275,Mace Head
2003-11-11,19.1,28.0,150.0,35.0,77.0,12.3,10.2,13.6,,1003.7,,,275,Mace Head
2003-11-12,18.9,26.0,190.0,36.0,267.0,11.7,8.8,5.6,,1008.3,,,275,Mace Head
2003-11-13,17.6,28.0,80.0,39.0,138.0,11.8,8.7,10.5,,994.5,,,275,Mace Head
2003-11-14,30.0,47.0,300.0,60.0,176.0,11.7,8.9,4.0,,992.9,,,275,Mace Head
2003-11-15,12.7,21.0,290.0,27.0,298.0,10.1,7.6,2.2,,1012.2,,,275,Mace Head
2003-11-16,10.3,24.0,210.0,30.0,341.0,12.0,5.0,0.8,,1014.9,,,275,Mace Head
2003-11-17,16.6,24.0,250.0,30.0,134.0,13.0,11.8,1.2,,1012.3,,,275,Mace Head
2003-11-18,23.1,31.0,220.0,41.0,86.0,13.1,12.2,0.4,,1010.6,,,275,Mace Head
2003-11-19,11.5,32.0,210.0,42.0,147.0,12.9,9.4,3.2,,1010.5,,,275,Mace Head
2003-11-20,16.1,26.0,230.0,32.0,414.0,11.0,7.0,3.3,,1005.5,,,275,Mace Head
2003-11-21,10.5,21.0,240.0,28.0,315.0,10.3,5.4,2.1,,1002.9,,,275,Mace Head
2003-11-22,11.1,29.0,240.0,35.0,351.0,10.3,5.5,0.9,,1000.5,,,275,Mace Head
