year,month,rain,meant,soil,solar_radiation_jcm2,pe,evap,dd_below_15_5,station_no,station_name,source
2023,1,109.2,6.5,6.5,5884.0,20.7,27.7,278.0,1575,Malin Head,prodapi_agmet_monthly
2023,2,55.6,7.8,7.5,10922.0,26.1,36.5,216.0,1575,Malin Head,prodapi_agmet_monthly
2023,3,99.1,7.3,6.8,24960.0,37.2,56.1,256.0,1575,Malin Head,prodapi_agmet_monthly
2023,4,68.0,9.3,9.2,42171.0,57.6,91.8,187.0,1575,Malin Head,prodapi_agmet_monthly
2023,5,48.2,11.7,12.7,56056.0,74.6,115.6,122.0,1575,Malin Head,prodapi_agmet_monthly
2023,6,66.8,15.1,16.1,64643.0,93.0,139.6,45.0,1575,Malin Head,prodapi_agmet_monthly
2023,7,192.6,14.9,15.3,51128.0,79.9,124.5,38.0,1575,Malin Head,prodapi_agmet_monthly
2023,8,117.4,15.3,15.1,43190.0,68.1,104.9,31.0,1575,Malin Head,prodapi_agmet_monthly
2023,9,103.3,14.6,14.2,30117.0,51.2,74.4,54.0,1575,Malin Head,prodapi_agmet_monthly
2023,10,114.6,11.7,12.0,14992.0,34.3,48.7,122.0,1575,Malin Head,prodapi_agmet_monthly
2023,11,129.2,8.2,9.4,7185.0,20.8,26.7,218.0,1575,Malin Head,prodapi_agmet_monthly
2023,12,214.2,7.6,8.1,3855.0,18.9,25.1,245.0,1575,Malin Head,prodapi_agmet_monthly
2024,1,111.4,6.2,6.5,6054.0,22.4,29.6,288.0,1575,Malin Head,prodapi_agmet_monthly
2024,2,111.0,7.2,6.7,11563.0,21.5,32.2,240.0,1575,Malin Head,prodapi_agmet_monthly
2024,3,86.0,7.3,6.0,24003.0,37.1,59.5,253.0,1575,Malin Head,prodapi_agmet_monthly
2024,4,86.8,8.7,8.6,41921.0,53.2,88.0,205.0,1575,Malin Head,prodapi_agmet_monthly
2024,5,42.0,12.1,12.4,45159.0,62.9,96.5,110.0,1575,Malin Head,prodapi_agmet_monthly
2024,6,60.9,12.2,13.3,53209.0,74.9,122.0,104.0,1575,Malin Head,prodapi_agmet_monthly
2024,7,71.8,13.7,14.4,50213.0,73.6,113.0,65.0,1575,Malin Head,prodapi_agmet_monthly
2024,8,181.3,14.5,13.9,38498.0,62.8,98.8,48.0,1575,Malin Head,prodapi_agmet_monthly
2024,9,58.1,12.8,12.1,30805.0,48.2,72.1,89.0,1575,Malin Head,prodapi_agmet_monthly
2024,10,64.3,11.7,10.2,15803.0,34.6,48.1,120.0,1575,Malin Head,prodapi_agmet_monthly
2024,11,86.5,9.4,8.3,6316.0,22.0,28.0,184.0,1575,Malin Head,prodapi_agmet_monthly
2024,12,105.9,8.1,7.2,2905.0,21.0,29.3,230.0,1575,Malin Head,prodapi_agmet_monthly
2025,1,74.4,6.2,4.9,6932.0,21.4,27.6,290.0,1575,Malin Head,prodapi_agmet_monthly
2025,2,63.2,6.9,5.4,11186.0,28.7,41.1,241.0,1575,Malin Head,prodapi_agmet_monthly
2025,3,34.9,8.4,6.9,27442.0,41.5,61.9,220.0,1575,Malin Head,prodapi_agmet_monthly
2025,4,61.2,10.3,8.8,46658.0,66.1,100.2,161.0,1575,Malin Head,prodapi_agmet_monthly
2025,5,54.0,11.4,12.5,67998.0,82.8,129.3,129.0,1575,Malin Head,prodapi_agmet_monthly
2025,6,111.9,14.2,14.0,50035.0,78.3,122.4,62.0,1575,Malin Head,prodapi_agmet_monthly
2025,7,82.7,15.7,15.5,48347.0,77.1,116.3,27.0,1575,Malin Head,prodapi_agmet_monthly
2025,8,61.5,16.0,15.6,43544.0,72.3,107.4,22.0,1575,Malin Head,prodapi_agmet_monthly
2025,9,118.2,13.2,12.6,29128.0,51.1,74.9,77.0,1575,Malin Head,prodapi_agmet_monthly
2025,10,116.6,11.4,11.3,11666.0,32.8,46.1,129.0,1575,Malin Head,prodapi_agmet_monthly
2025,11,126.6,8.7,8.6,6972.0,24.8,33.1,204.0,1575,Malin Head,prodapi_agmet_monthly
2025,12,78.0,7.5,7.0,4578.0,18.8,22.7,249.0,1575,Malin Head,prodapi_agmet_monthly
2026,1,110.1,5.7,5.4,5492.0,21.9,30.9,304.0,1575,Malin Head,prodapi_agmet_monthly
2026,2,88.8,6.6,6.0,9148.0,25.1,37.6,248.0,1575,Malin Head,prodapi_agmet_monthly
2026,3,87.3,7.8,7.0,26328.0,40.0,63.3,239.0,1575,Malin Head,prodapi_agmet_monthly
2026,4,66.9,9.0,8.6,45804.0,60.3,97.7,196.0,1575,Malin Head,prodapi_agmet_monthly
2026,5,62.3,11.3,11.8,54834.0,73.3,117.0,138.0,1575,Malin Head,prodapi_agmet_monthly
2026,6,107.2,13.7,14.1,51476.0,73.3,116.2,65.0,1575,Malin Head,prodapi_agmet_monthly
2026,7,61.5,15.1,15.6,49249.0,70.8,111.3,27.0,1575,Malin Head,prodapi_agmet_monthly
2026,8,87.7,15.3,15.0,38737.0,63.3,94.1,28.0,1575,Malin Head,prodapi_agmet_monthly
2026,9,,,,,,,,1575,Malin Head,prodapi_agmet_monthly
2026,10,,,,,,,,1575,Malin Head,prodapi_agmet_monthly
2026,11,,,,,,,,1575,Malin Head,prodapi_agmet_monthly
2026,12,,,,,,,,1575,Malin Head,prodapi_agmet_monthly
