location_id,location_name,latitude,longitude,n_weeks,year_min,year_max,dist_km,overlap_years
633,Lehannagh Pool,53.4012,-9.8266,25,2009,2020,0.4098256959024758,False
374,Outer Bertragh Buoi,53.38459,-9.85832,5,2003,2013,3.032677447890407,False
373,Saltpoint,53.38459,-9.85832,20,2002,2011,3.032677447890407,False
372,Letterard,53.38459,-9.85832,174,2005,2014,3.032677447890407,False
160,Illaungorm,53.38111,-9.85556,3,2004,2004,3.1308867868856893,False
634,Letterard,53.37465,-9.8687,24,2009,2012,4.259250214319421,False
628,Crumpan Pier,53.31217,-9.82692,330,2008,2016,9.78607992867115,False
400,Ardmore,53.3003,-9.76548,69,2003,2015,11.68686471340732,False
401,Birbeg,53.28058,-9.77923,8,2007,2008,13.572201242465288,False
396,Oilean Iarthach,53.28818,-9.73658,12,2004,2008,13.640384038199784,False
416,Birmore,53.273,-9.785,1,2007,2007,14.330270200476749,False
176,Illauneragh,53.27833,-9.74806,1,2005,2005,14.373433814044027,False
395,Lettercallow,53.29162,-9.70244,19,2004,2008,14.391970812568065,False
392,The Gurrig,53.319,-9.647,7,2003,2008,14.635189376142666,False
391,Annaghbhan,53.31887,-9.64703,5,2002,2009,14.642547749563219,False
398,Danoish,53.26618,-9.74297,116,2003,2014,15.760338389497944,False
394,Cnoc,53.27041,-9.71382,38,2003,2009,16.072440930488803,False
169,Ardbear,53.47194,-10.03472,23,2003,2020,16.27256778130015,False
174,Rosmuc,53.33194,-9.59861,428,2014,2026,16.570526493160624,True
622,Carraig Na Meachain,53.24988,-9.82501,3,2008,2008,16.70615431565531,False
378,Ardbear Bay,53.47666,-10.04955,13,2003,2012,17.38533654370766,False
397,Casheen,53.25299,-9.72885,9,2003,2010,17.458210191498658,False
177,Mannin,53.45944,-10.07,413,2014,2026,17.785558895140106,True
629,Aster Quay,53.47885,-10.05595,1,2008,2008,17.87384742324537,False
399,Red Flag,53.23706,-9.78851,47,2003,2010,18.25487536577827,False
393,Golam,53.23728,-9.7546,44,2003,2015,18.629537288341265,False
379,Hawks Nest,53.48499,-10.06718,215,2003,2014,18.857163841240954,False
405,Curhounagh,53.46496,-10.08594,213,2003,2014,18.993724596706464,False
382,Cuigeal,53.26174,-9.63121,57,2003,2014,19.87531995483525,False
380,Carraroe,53.26174,-9.63121,43,2003,2010,19.87531995483525,False
179,Gubbaros,53.50917,-10.07139,565,2008,2026,20.55735686123312,True
163,Ballynakill,53.57167,-9.99722,622,2008,2026,22.36874709916037,True
367,Ballinakill,53.57167,-9.99722,23,2004,2013,22.36874709916037,False
171,Killary Harbour Inner,53.6,-9.75528,660,2004,2026,22.645097785768705,True
172,Killary Harbour Middle,53.60389,-9.80278,745,2002,2026,22.691387064924097,True
650,Cliffden Outer,53.4915,-10.13339,469,2014,2026,23.067661345332063,True
403,Inishdeighil,53.60768,-9.90281,94,2003,2014,23.712024127389686,False
517,Killary Hbr Control,53.60768,-9.90281,11,2003,2008,23.712024127389686,False
381,Kerraun Pt.,53.22493,-9.6132,9,2003,2003,23.86244664833364,False
175,Killary Harbour Outer,53.61472,-9.83306,869,2002,2026,23.878648274339692,True
366,Fraochoilean,53.575,-10.03503,175,2004,2014,24.068692523039058,False
402,Rosroe,53.624,-9.86386,200,2003,2013,25.05957455371421,False
417,Rosroe Inner Cage Site,53.624,-9.864,9,2003,2013,25.060630459167548,False
702,Killary Approaches,53.6334,-9.87963,128,2019,2026,26.23272249516387,True
825,Cleggan,53.56308,-10.10933,5,2026,2026,26.328367705010052,True
601,Killary Outer Mouth,53.635,-9.887,3,2006,2021,26.484933581502005,False
656,Inishbofin,53.605,-10.1069,15,2012,2012,29.620741736601246,False
