location_id,location_name,latitude,longitude,n_weeks,year_min,year_max,dist_km,overlap_years
634,Letterard,53.37465,-9.8687,24,2009,2012,6.479097651635469,False
628,Crumpan Pier,53.31217,-9.82692,330,2008,2016,7.312264590734168,False
160,Illaungorm,53.38111,-9.85556,3,2004,2004,7.595104607681819,False
373,Saltpoint,53.38459,-9.85832,20,2002,2011,7.76791808494088,False
372,Letterard,53.38459,-9.85832,174,2005,2014,7.76791808494088,False
374,Outer Bertragh Buoi,53.38459,-9.85832,5,2003,2013,7.76791808494088,False
633,Lehannagh Pool,53.4012,-9.8266,25,2009,2020,10.540069849504206,True
622,Carraig Na Meachain,53.24988,-9.82501,3,2008,2008,11.476210024590213,False
400,Ardmore,53.3003,-9.76548,69,2003,2015,11.6015831723331,False
401,Birbeg,53.28058,-9.77923,8,2007,2008,11.609592324259056,False
416,Birmore,53.273,-9.785,1,2007,2007,11.714061246100876,False
176,Illauneragh,53.27833,-9.74806,1,2005,2005,13.56967368345634,False
396,Oilean Iarthach,53.28818,-9.73658,12,2004,2008,13.851115761856171,False
399,Red Flag,53.23706,-9.78851,47,2003,2010,14.13994562387237,False
398,Danoish,53.26618,-9.74297,116,2003,2014,14.495505711341599,False
393,Golam,53.23728,-9.7546,44,2003,2015,15.738398491975914,False
395,Lettercallow,53.29162,-9.70244,19,2004,2008,15.893258025928864,False
394,Cnoc,53.27041,-9.71382,38,2003,2009,16.004948386580573,False
397,Casheen,53.25299,-9.72885,9,2003,2010,16.0583237671983,False
177,Mannin,53.45944,-10.07,413,2014,2026,16.9776830478624,True
169,Ardbear,53.47194,-10.03472,23,2003,2020,17.112435182818665,True
378,Ardbear Bay,53.47666,-10.04955,13,2003,2012,17.996664296604134,False
405,Curhounagh,53.46496,-10.08594,213,2003,2014,18.07114512362496,False
629,Aster Quay,53.47885,-10.05595,1,2008,2008,18.401201634364874,False
391,Annaghbhan,53.31887,-9.64703,5,2002,2009,19.010741518327126,False
392,The Gurrig,53.319,-9.647,7,2003,2008,19.01171422789333,False
379,Hawks Nest,53.48499,-10.06718,215,2003,2014,19.346746091634,False
380,Carraroe,53.26174,-9.63121,43,2003,2010,21.443625796357598,False
382,Cuigeal,53.26174,-9.63121,57,2003,2014,21.443625796357598,False
179,Gubbaros,53.50917,-10.07139,565,2008,2026,21.882635700411097,True
174,Rosmuc,53.33194,-9.59861,428,2014,2026,22.17882498994177,True
650,Cliffden Outer,53.4915,-10.13339,469,2014,2026,22.298177802689903,True
381,Kerraun Pt.,53.22493,-9.6132,9,2003,2003,24.269984231871838,False
163,Ballynakill,53.57167,-9.99722,622,2008,2026,27.14513330908422,True
367,Ballinakill,53.57167,-9.99722,23,2004,2013,27.14513330908422,False
366,Fraochoilean,53.575,-10.03503,175,2004,2014,28.009596989796048,False
825,Cleggan,53.56308,-10.10933,5,2026,2026,28.376592088381052,True
