location_id,location_name,hab_lat,hab_lon,year_max,proxy_station_no,proxy_name,proxy_parameter,proxy_role,dist_km,join_keys,notes
634,Letterard,53.37465,-9.8687,2012,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,38.85,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
634,Letterard,53.37465,-9.8687,2012,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,55.24,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
634,Letterard,53.37465,-9.8687,2012,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),42.5,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
628,Crumpan Pier,53.31217,-9.82692,2016,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,34.72,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
628,Crumpan Pier,53.31217,-9.82692,2016,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,51.48,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
628,Crumpan Pier,53.31217,-9.82692,2016,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),43.65,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
160,Illaungorm,53.38111,-9.85556,2004,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,38.23,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
160,Illaungorm,53.38111,-9.85556,2004,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,54.54,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
160,Illaungorm,53.38111,-9.85556,2004,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),41.41,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
373,Saltpoint,53.38459,-9.85832,2011,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,38.53,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
373,Saltpoint,53.38459,-9.85832,2011,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,54.81,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
373,Saltpoint,53.38459,-9.85832,2011,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),41.41,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
372,Letterard,53.38459,-9.85832,2014,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,38.53,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
372,Letterard,53.38459,-9.85832,2014,30061,Wolfe Tone Br,Q,Corrib fluvial outflow to Galway Bay,54.81,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
372,Letterard,53.38459,-9.85832,2014,30031,Cong Weir,Q,Mask→Corrib inflow (upper catchment),41.41,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
374,Outer Bertragh Buoi,53.38459,-9.85832,2013,31075,Shannagurraun,Q,Owenboliskey local coastal discharge,38.53,"iso_year,iso_week",Regional freshwater proxy (not catchment-assigned)
