iso_year,iso_week,station_no,station_name,parameter,mean_value,n_days,unit,role
2000,44,30031,Cong Weir,Q,70.1218,5,m3/s,mask_to_corrib_inflow
2000,45,30031,Cong Weir,Q,72.327143,7,m3/s,mask_to_corrib_inflow
2000,46,30031,Cong Weir,Q,71.934,7,m3/s,mask_to_corrib_inflow
2000,47,30031,Cong Weir,Q,72.903429,7,m3/s,mask_to_corrib_inflow
2000,48,30031,Cong Weir,Q,78.558429,7,m3/s,mask_to_corrib_inflow
2000,52,30031,Cong Weir,Q,78.688,6,m3/s,mask_to_corrib_inflow
2001,1,30031,Cong Weir,Q,82.197,6,m3/s,mask_to_corrib_inflow
2001,2,30031,Cong Weir,Q,72.025286,7,m3/s,mask_to_corrib_inflow
2001,3,30031,Cong Weir,Q,60.133714,7,m3/s,mask_to_corrib_inflow
2001,4,30031,Cong Weir,Q,60.828429,7,m3/s,mask_to_corrib_inflow
2001,5,30031,Cong Weir,Q,61.123286,7,m3/s,mask_to_corrib_inflow
2001,6,30031,Cong Weir,Q,63.279857,7,m3/s,mask_to_corrib_inflow
2001,7,30031,Cong Weir,Q,60.812857,7,m3/s,mask_to_corrib_inflow
2001,8,30031,Cong Weir,Q,52.560714,7,m3/s,mask_to_corrib_inflow
2001,9,30031,Cong Weir,Q,45.988714,7,m3/s,mask_to_corrib_inflow
2001,10,30031,Cong Weir,Q,41.106143,7,m3/s,mask_to_corrib_inflow
2001,11,30031,Cong Weir,Q,41.129571,7,m3/s,mask_to_corrib_inflow
2001,12,30031,Cong Weir,Q,37.409857,7,m3/s,mask_to_corrib_inflow
2001,13,30031,Cong Weir,Q,34.317714,7,m3/s,mask_to_corrib_inflow
2001,14,30031,Cong Weir,Q,37.478571,7,m3/s,mask_to_corrib_inflow
2001,15,30031,Cong Weir,Q,38.796571,7,m3/s,mask_to_corrib_inflow
2001,16,30031,Cong Weir,Q,33.837714,7,m3/s,mask_to_corrib_inflow
2001,17,30031,Cong Weir,Q,28.267714,7,m3/s,mask_to_corrib_inflow
2001,18,30031,Cong Weir,Q,26.087714,7,m3/s,mask_to_corrib_inflow
2001,19,30031,Cong Weir,Q,20.262286,7,m3/s,mask_to_corrib_inflow
2001,20,30031,Cong Weir,Q,17.749571,7,m3/s,mask_to_corrib_inflow
2001,21,30031,Cong Weir,Q,15.839286,7,m3/s,mask_to_corrib_inflow
2001,22,30031,Cong Weir,Q,14.117143,7,m3/s,mask_to_corrib_inflow
2001,23,30031,Cong Weir,Q,13.111143,7,m3/s,mask_to_corrib_inflow
2001,24,30031,Cong Weir,Q,12.277286,7,m3/s,mask_to_corrib_inflow
2001,25,30031,Cong Weir,Q,14.812429,7,m3/s,mask_to_corrib_inflow
2001,26,30031,Cong Weir,Q,15.986,7,m3/s,mask_to_corrib_inflow
2001,27,30031,Cong Weir,Q,18.262429,7,m3/s,mask_to_corrib_inflow
2001,28,30031,Cong Weir,Q,16.681,7,m3/s,mask_to_corrib_inflow
2001,29,30031,Cong Weir,Q,15.997429,7,m3/s,mask_to_corrib_inflow
2001,30,30031,Cong Weir,Q,15.111429,7,m3/s,mask_to_corrib_inflow
2001,31,30031,Cong Weir,Q,14.153286,7,m3/s,mask_to_corrib_inflow
2001,32,30031,Cong Weir,Q,13.005143,7,m3/s,mask_to_corrib_inflow
2001,33,30031,Cong Weir,Q,15.993571,7,m3/s,mask_to_corrib_inflow
2001,34,30031,Cong Weir,Q,21.249286,7,m3/s,mask_to_corrib_inflow
2001,35,30031,Cong Weir,Q,20.932286,7,m3/s,mask_to_corrib_inflow
2001,36,30031,Cong Weir,Q,18.043429,7,m3/s,mask_to_corrib_inflow
2001,37,30031,Cong Weir,Q,15.621,7,m3/s,mask_to_corrib_inflow
2001,38,30031,Cong Weir,Q,13.510571,7,m3/s,mask_to_corrib_inflow
2001,39,30031,Cong Weir,Q,11.957143,7,m3/s,mask_to_corrib_inflow
2001,40,30031,Cong Weir,Q,21.151714,7,m3/s,mask_to_corrib_inflow
2001,41,30031,Cong Weir,Q,34.121571,7,m3/s,mask_to_corrib_inflow
2001,42,30031,Cong Weir,Q,37.352143,7,m3/s,mask_to_corrib_inflow
2001,43,30031,Cong Weir,Q,37.327429,7,m3/s,mask_to_corrib_inflow
2001,44,30031,Cong Weir,Q,39.114429,7,m3/s,mask_to_corrib_inflow
2001,45,30031,Cong Weir,Q,38.002857,7,m3/s,mask_to_corrib_inflow
2001,46,30031,Cong Weir,Q,36.159143,7,m3/s,mask_to_corrib_inflow
2001,47,30031,Cong Weir,Q,33.339143,7,m3/s,mask_to_corrib_inflow
2001,48,30031,Cong Weir,Q,40.626429,7,m3/s,mask_to_corrib_inflow
2001,49,30031,Cong Weir,Q,57.276,7,m3/s,mask_to_corrib_inflow
2001,50,30031,Cong Weir,Q,56.252857,7,m3/s,mask_to_corrib_inflow
2001,51,30031,Cong Weir,Q,49.357429,7,m3/s,mask_to_corrib_inflow
2001,52,30031,Cong Weir,Q,41.543571,7,m3/s,mask_to_corrib_inflow
2002,1,30031,Cong Weir,Q,35.677,7,m3/s,mask_to_corrib_inflow
2002,2,30031,Cong Weir,Q,34.930714,7,m3/s,mask_to_corrib_inflow
2002,3,30031,Cong Weir,Q,38.257286,7,m3/s,mask_to_corrib_inflow
2002,4,30031,Cong Weir,Q,53.152857,7,m3/s,mask_to_corrib_inflow
2002,5,30031,Cong Weir,Q,67.28,7,m3/s,mask_to_corrib_inflow
2002,6,30031,Cong Weir,Q,79.516429,7,m3/s,mask_to_corrib_inflow
2002,7,30031,Cong Weir,Q,83.758,1,m3/s,mask_to_corrib_inflow
2002,8,30031,Cong Weir,Q,82.43,3,m3/s,mask_to_corrib_inflow
2002,10,30031,Cong Weir,Q,83.975,2,m3/s,mask_to_corrib_inflow
2002,11,30031,Cong Weir,Q,81.888,3,m3/s,mask_to_corrib_inflow
2002,12,30031,Cong Weir,Q,73.725857,7,m3/s,mask_to_corrib_inflow
2002,13,30031,Cong Weir,Q,63.278286,7,m3/s,mask_to_corrib_inflow
2002,14,30031,Cong Weir,Q,55.826429,7,m3/s,mask_to_corrib_inflow
2002,15,30031,Cong Weir,Q,46.859571,7,m3/s,mask_to_corrib_inflow
2002,16,30031,Cong Weir,Q,38.494714,7,m3/s,mask_to_corrib_inflow
2002,17,30031,Cong Weir,Q,39.049143,7,m3/s,mask_to_corrib_inflow
2002,18,30031,Cong Weir,Q,42.095286,7,m3/s,mask_to_corrib_inflow
2002,19,30031,Cong Weir,Q,35.564429,7,m3/s,mask_to_corrib_inflow
2002,20,30031,Cong Weir,Q,30.737143,7,m3/s,mask_to_corrib_inflow
2002,21,30031,Cong Weir,Q,37.437286,7,m3/s,mask_to_corrib_inflow
2002,22,30031,Cong Weir,Q,47.524714,7,m3/s,mask_to_corrib_inflow
2002,23,30031,Cong Weir,Q,45.803714,7,m3/s,mask_to_corrib_inflow
2002,24,30031,Cong Weir,Q,44.163143,7,m3/s,mask_to_corrib_inflow
2002,25,30031,Cong Weir,Q,49.367571,7,m3/s,mask_to_corrib_inflow
2002,26,30031,Cong Weir,Q,46.795286,7,m3/s,mask_to_corrib_inflow
2002,27,30031,Cong Weir,Q,39.767143,7,m3/s,mask_to_corrib_inflow
2002,28,30031,Cong Weir,Q,34.426,7,m3/s,mask_to_corrib_inflow
2002,29,30031,Cong Weir,Q,26.238571,7,m3/s,mask_to_corrib_inflow
2002,30,30031,Cong Weir,Q,20.040286,7,m3/s,mask_to_corrib_inflow
2002,31,30031,Cong Weir,Q,17.221429,7,m3/s,mask_to_corrib_inflow
2002,32,30031,Cong Weir,Q,15.722571,7,m3/s,mask_to_corrib_inflow
2002,33,30031,Cong Weir,Q,17.892857,7,m3/s,mask_to_corrib_inflow
2002,34,30031,Cong Weir,Q,19.265286,7,m3/s,mask_to_corrib_inflow
2002,35,30031,Cong Weir,Q,16.699143,7,m3/s,mask_to_corrib_inflow
2002,36,30031,Cong Weir,Q,15.801857,7,m3/s,mask_to_corrib_inflow
2002,37,30031,Cong Weir,Q,15.369429,7,m3/s,mask_to_corrib_inflow
2002,38,30031,Cong Weir,Q,14.547143,7,m3/s,mask_to_corrib_inflow
2002,39,30031,Cong Weir,Q,12.514143,7,m3/s,mask_to_corrib_inflow
2002,40,30031,Cong Weir,Q,11.501286,7,m3/s,mask_to_corrib_inflow
2002,41,30031,Cong Weir,Q,12.492571,7,m3/s,mask_to_corrib_inflow
2002,42,30031,Cong Weir,Q,13.230429,7,m3/s,mask_to_corrib_inflow
2002,43,30031,Cong Weir,Q,28.743429,7,m3/s,mask_to_corrib_inflow
2002,44,30031,Cong Weir,Q,53.527857,7,m3/s,mask_to_corrib_inflow
2002,45,30031,Cong Weir,Q,64.171286,7,m3/s,mask_to_corrib_inflow
2002,46,30031,Cong Weir,Q,71.659571,7,m3/s,mask_to_corrib_inflow
2002,47,30031,Cong Weir,Q,68.426429,7,m3/s,mask_to_corrib_inflow
2002,48,30031,Cong Weir,Q,67.268143,7,m3/s,mask_to_corrib_inflow
2002,49,30031,Cong Weir,Q,75.277857,7,m3/s,mask_to_corrib_inflow
2002,50,30031,Cong Weir,Q,67.212857,7,m3/s,mask_to_corrib_inflow
2002,51,30031,Cong Weir,Q,58.229714,7,m3/s,mask_to_corrib_inflow
2002,52,30031,Cong Weir,Q,58.54,7,m3/s,mask_to_corrib_inflow
2003,1,30031,Cong Weir,Q,61.276286,7,m3/s,mask_to_corrib_inflow
2003,2,30031,Cong Weir,Q,55.371571,7,m3/s,mask_to_corrib_inflow
2003,3,30031,Cong Weir,Q,55.100857,7,m3/s,mask_to_corrib_inflow
2003,4,30031,Cong Weir,Q,58.114143,7,m3/s,mask_to_corrib_inflow
2003,5,30031,Cong Weir,Q,58.256571,7,m3/s,mask_to_corrib_inflow
2003,6,30031,Cong Weir,Q,55.899429,7,m3/s,mask_to_corrib_inflow
2003,7,30031,Cong Weir,Q,55.544429,7,m3/s,mask_to_corrib_inflow
2003,8,30031,Cong Weir,Q,49.594571,7,m3/s,mask_to_corrib_inflow
2003,9,30031,Cong Weir,Q,42.227714,7,m3/s,mask_to_corrib_inflow
2003,10,30031,Cong Weir,Q,46.318857,7,m3/s,mask_to_corrib_inflow
2003,11,30031,Cong Weir,Q,56.710429,7,m3/s,mask_to_corrib_inflow
2003,12,30031,Cong Weir,Q,50.532571,7,m3/s,mask_to_corrib_inflow
2003,13,30031,Cong Weir,Q,42.226571,7,m3/s,mask_to_corrib_inflow
2003,14,30031,Cong Weir,Q,34.119429,7,m3/s,mask_to_corrib_inflow
2003,15,30031,Cong Weir,Q,24.804286,7,m3/s,mask_to_corrib_inflow
2003,16,30031,Cong Weir,Q,24.945143,7,m3/s,mask_to_corrib_inflow
2003,17,30031,Cong Weir,Q,21.845429,7,m3/s,mask_to_corrib_inflow
2003,18,30031,Cong Weir,Q,25.678,7,m3/s,mask_to_corrib_inflow
2003,19,30031,Cong Weir,Q,27.670571,7,m3/s,mask_to_corrib_inflow
2003,20,30031,Cong Weir,Q,27.172714,7,m3/s,mask_to_corrib_inflow
2003,21,30031,Cong Weir,Q,39.024429,7,m3/s,mask_to_corrib_inflow
2003,22,30031,Cong Weir,Q,39.584857,7,m3/s,mask_to_corrib_inflow
2003,23,30031,Cong Weir,Q,34.989,7,m3/s,mask_to_corrib_inflow
2003,24,30031,Cong Weir,Q,37.628429,7,m3/s,mask_to_corrib_inflow
2003,25,30031,Cong Weir,Q,32.994714,7,m3/s,mask_to_corrib_inflow
2003,26,30031,Cong Weir,Q,24.588,7,m3/s,mask_to_corrib_inflow
2003,27,30031,Cong Weir,Q,23.158857,7,m3/s,mask_to_corrib_inflow
2003,28,30031,Cong Weir,Q,19.500143,7,m3/s,mask_to_corrib_inflow
2003,29,30031,Cong Weir,Q,16.727,7,m3/s,mask_to_corrib_inflow
2003,30,30031,Cong Weir,Q,18.248714,7,m3/s,mask_to_corrib_inflow
2003,31,30031,Cong Weir,Q,20.692571,7,m3/s,mask_to_corrib_inflow
2003,32,30031,Cong Weir,Q,20.088,7,m3/s,mask_to_corrib_inflow
