site,latitude,longitude,pa_id
Loch Etive,56.49673406,-5.13463934,SWPA37
Loch Creran,56.51962238,-5.36170091,SWPA32
Loch Melfort,56.25320274,-5.5359046,SWPA49
Little Loch Broom,57.90105052,-5.37058419,SWPA26
Loch Scridain,56.35512646,-6.10992511,SWPA53
Loch Snizort,57.57117132,-6.46854564,SWPA57
Loch Spelve,56.38617242,-5.7382708,SWPA58
"Loch Moidart, South Channel",56.78394912,-5.86151018,SWPA50
East Loch Tarbert,57.87693012,-6.70840025,SWPA14
Loch Eil,56.8484917,-5.25238597,SWPA33
"Isle of Ulva, Mull (Loch Tuath)",56.51460239,-6.23048663,SWPA20
Muckle Roe Area,60.36320195,-1.32222126,SWPA65
Vaila Sound,60.21495422,-1.58160196,SWPA80
Tobermory,56.61784278,-6.04854978,SWPA77
Kerrera,56.41416028,-5.52128395,SWPA21
Loch Nevis,56.98367294,-5.64318686,SWPA51
Loch a Chumhainn,56.61566841,-6.24435555,SWPA27
Loch Laxford,58.39746534,-5.07469423,SWPA45
"Cais - bhaigh, Enard Bay",58.11221989,-5.2862082,SWPA7
Ardtoe and Loch Ceann Traigh,56.76917123,-5.9098711,SWPA1
Lismore,56.55494752,-5.45394211,SWPA25
Loch Roag,58.19503091,-6.90804094,SWPA52
Kyles of Bute,55.85314435,-5.19765304,SWPA23
Loch Ainort,57.28009045,-6.05562547,SWPA29
"Scarvar Ayre, Dales Voe",60.4168042,-1.21885063,SWPA69
Loch Sunart,56.68548257039345,-5.664447443829138,SWPA95
Clift Sound,60.05670678,-1.31148264,SWPA9
Mid Yell Voe,60.602829229497054,-1.053795451272822,SWPA97
Ura Firth,60.47075480050775,-1.474611996570844,SWPA99
Loch Leurbost,58.13253939,-6.45730506,SWPA46
Loch Inchard,58.44046647,-5.01023951,SWPA43
Stromness Voe,60.19037583,-1.30891805,SWPA76
Kyle of Tongue,58.51008926,-4.41079709,SWPA22
Loch Harport,57.32345301,-6.37166313,SWPA42
Seil: Ardencaple,56.31098292,-5.6106202,SWPA71
Colonsay,56.03324864,-6.257114,SWPA10
Inner Loch Linnhe,56.76993282780515,-5.190451421711468,SWPA88
Tràigh Mhòr,57.026312354762005,-7.422152169307618,SWPA86
Cat Firth,60.25733796197534,-1.189893468766691,SWPA100
Loch Beag,56.88634574,-5.73382984,SWPA30
Dales Voe,60.18471403,-1.19713081,SWPA12
Mid Noost,60.24317698855622,-1.2968510095212913,SWPA96
Upper Loch Torridon,57.54417649,-5.58950486,SWPA78
Loch Gruinart,55.85140734,-6.32791809,SWPA41
Seil Sound,56.28738569,-5.59545905,SWPA70
Loch Eishort,57.1744921,-5.87106699,SWPA34
Loch Ailort,56.84805065,-5.80215456,SWPA28
Whale Firth,60.62457369,-1.14506108,SWPA84
Fairlie,55.75100587,-4.86487956,SWPA16
Loch Sligachan,57.31552764,-6.12072426,SWPA56
Loch Long,56.16281237,-4.79786199,SWPA48
Loch Fyne,55.81583285,-5.29856786,SWPA39
Shuna Sound,56.206460884234836,-5.623986086841097,SWPA90
Hamna Voe,60.49818398,-1.11548586,SWPA18
Loch Eriboll,58.50319022,-4.67384931,SWPA35
Ronas Voe Area,60.52564473,-1.47921547,SWPA67
Loch Kanaird,57.94324780663281,-5.182962719450031,SWPA94
Lunna,60.40531358,-1.13594819,SWPA62
East Tarbert Bay,55.70632113,-5.73100352,SWPA15
Loch Leven,56.69863961,-5.08310304,SWPA47
Loch Erisort,58.0981104,-6.48151769,SWPA36
Uyea Sound,60.6782486,-0.89203133,SWPA79
Loch Ewe,57.80246551,-5.63347929,SWPA38
Arisaig,56.90689185,-5.88027109,SWPA2
Lamlash,55.52265999,-5.11152871,SWPA24
Sandsound Voe,60.23241081,-1.37087683,SWPA68
South Uist,57.33306677,-7.23089131,SWPA74
Loch Glendhu,58.24327685,-4.99154436,SWPA40
Broadford Bay and Kyle Area,57.27102841,-5.82404977,SWPA5
North Uist,57.62194297,-7.12856305,SWPA66
Gruting Voe,60.21140083,-1.5317449,SWPA17
Weisdale Voe,60.21225999,-1.31766399,SWPA82
Cromarty Bay,57.66815183,-4.12184297,SWPA11
Hawksness,60.6616658,-0.89266447,SWPA19
Loch Seaforth,57.97027505,-6.71647042,SWPA54
West of Scalloway,60.13834144,-1.31626731,SWPA83
Loch Ryan,54.95844993,-5.04221698,SWPA85
Colla Firth,60.40816083064395,-1.200037554961953,SWPA89
Kildonan Bay,56.88607875773412,-6.125385916593649,SWPA92
Bay of Skaill,59.342201796907005,-2.9579412721076013,SWPA87
Lynn of Lorn,56.50201001,-5.4569405,SWPA63
"Basta Voe, Yell",60.63501494,-1.0250729,SWPA6
Kyle of Durness,58.56134090162793,-4.80869727760507,SWPA93
Swining Voe,60.394145977733764,-1.1614312663067938,SWPA98
Baltasound Voe,60.75626829,-0.83343517,SWPA3
Hamar Voe,60.467837165495126,-1.4482836925361113,SWPA91
Sound of Kerrera,56.38663802,-5.52706489,SWPA73
Loch Kishorn,57.39214069,-5.60749778,SWPA44
Loch Striven,55.92854052,-5.06907217,SWPA60
Loch Slapin,57.19106166,-6.01640768,SWPA55
Dornoch Firth,57.86666013,-4.21857307,SWPA13
Bay of Firth,59.00891718,-3.07387449,SWPA4
"South Wick, Cullivoe",60.69345831,-0.98834962,SWPA75
Loch Tarbert,55.80300154,-5.50498033,SWPA61
Wadbister Voe,60.23359423,-1.21211336,SWPA81
Loch Caroy,57.39083877,-6.49179249,SWPA31
Loch Stockinish,57.81242422,-6.83600416,SWPA59
