AreaName,Sin,LocalAuthorityName
Lunan Bay,AG-823-2161-16,Angus
Montrose Bay,AG-824-2162-16,Angus
Ardcastle Bay Mussels,AB-635-1281-08,Argyll and Bute
Ardcastle Bay Oysters,AB-634-1280-13,Argyll and Bute
Ardcastle Bay Scallops,AB-636-1282-15,Argyll and Bute
Ardencaple,AB-818-2146-04,Argyll and Bute
Bute Ettrick Bay,AB-389-786-16,Argyll and Bute
Campbeltown Loch,AB-029-008-04,Argyll and Bute
Campbeltown Loch: Kildalloig Bay,AB-371-778-13,Argyll and Bute
Carradale Bay,AB-511-930-16,Argyll and Bute
Carradale Bay Gapers,AB-848-2282-18,Argyll and Bute
Castle Stalker,AB-492-909-04,Argyll and Bute
Coll Razors,AB-837-2246-16,Argyll and Bute
Colonsay,AB-041-009-13,Argyll and Bute
Colonsay,AB-041-1199-13,Argyll and Bute
Colonsay East of the Strand,AB-774-1987-16,Argyll and Bute
Colonsay and Oransay,AB-521-917-14,Argyll and Bute
Dunstaffnage Cockles,AB-696-1511-04,Argyll and Bute
East Mull,AB-520-946-14,Argyll and Bute
East Tarbert Bay,AB-541-972-13,Argyll and Bute
East of the Strand,AB-422-826-16,Argyll and Bute
Eilean Gainimh,AB-870-2379-24,Argyll and Bute
Eilean an Atha,AB-877-2390-13,Argyll and Bute
Eriska Shoal,AB-490-907-04,Argyll and Bute
Eriska Shoal Carpet Clams,AB-547-1006-02,Argyll and Bute
Gallochoille Old Pier,AB-699-1519-13,Argyll and Bute
Ganavan Cockles,AB-697-1512-04,Argyll and Bute
Islay,AB-094-011-13,Argyll and Bute
Kerrera East,AB-894-1513-04,Argyll and Bute
Kerrera West,AB-895-1514-04,Argyll and Bute
Kilbrannan Sound,AB-333-727-16,Argyll and Bute
Kilbrannan Sound Gapers,AB-849-2287-18,Argyll and Bute
Kilbride Bay,AB-420-824-16,Argyll and Bute
Kilfinichen Bay,AB-695-1507-04,Argyll and Bute
Loch A Chumhainn: Inner Deep Site,AB-112-017-13,Argyll and Bute
Loch A Chumhainn: Outer,AB-113-018-13,Argyll and Bute
Loch Caolisport,AB-124-019-07,Argyll and Bute
