Id,AreaId,AreaClosureStart,AreaClosureEnd,AreaName,Description,Reason,Pod,Sin_trigger,toxin_tags,is_open,AreaSins,LocalAuthorityName,n_area_sins,in_smc_areas,sin_trigger_in_smc_areas,Sin
238,362971,2026-08-24 00:00:00,,Loch Moidart,"Area bounded by lines drawn between NM 6490 7268, NM 6494 7200, NM 6458 7179, NM 6439 7179, NM 6347 7253, NM 6338 7334","Common mussel (Mytilus spp.) from HL 179 996 08, Loch Moidart, South Channel Indicator in Pod 85, collected on 24/08/2026, has recorded a result above the action level for the following test(s): OA/DTX/PTX",85,HL-179-996-08,OA/DTX/PTX,True,HL-179-227-13,Highland: Lochaber,1,True,False,HL-179-227-13
236,362949,2026-08-18 00:00:00,,Loch Fyne: Ardkinglas Oysters,"Area bounded by lines drawn between NN 1600 0950, NN 1600 1050, NN 1700 1050, NN 1700 1020, extending to MHWS","Pacific oyster (Crassostrea gigas) from AB 147 036 13, Loch Fyne: Ardkinglas Oysters, The Shore in Pod 16, collected on 18/08/2026, has recorded a result above the action level for the following test(s): OA/DTX/PTX",16,AB-147-036-13,OA/DTX/PTX,True,AB-147-034-13|AB-147-035-08|AB-147-036-13,Argyll and Bute,3,True,True,AB-147-036-13
237,362934,2026-08-18 00:00:00,,Loch Beag,Area bounded by lines drawn between NM 7223 8370 and NM 7200 8319 extending to MHWS,"Common mussel (Mytilus spp.) from HL 118 215 08, Loch Beag, Ardnambuth in Pod 28, collected on 18/08/2026, has recorded a result above the action level for the following test(s): OA/DTX/PTX",28,HL-118-215-08,OA/DTX/PTX,True,HL-118-215-08,Highland: Lochaber,1,True,True,HL-118-215-08
235,363501,2026-08-13 21:08:47,,Eilean mo Shlinneag,"Area bounded by line drawn between NM 72615 62298, NM 72409 62196, NM 72626 61753 and NM 72846 61854",,137,,unspecified,True,HL-912-2494-08,Highland: Lochaber,1,True,False,HL-912-2494-08
229,362963,2026-08-11 00:00:00,,Loch Leven: Lower,"Area bounded by lines drawn between NN 0640 5931, NN 0659 5884, NN 0742 5943 and NN 0727 5840","Common mussel (Mytilus spp.) from HL 171 223 08, Loch Leven: Upper, Upper in Pod 31, collected on 11/08/2026, has recorded a result above the action level for the following test(s): OA/DTX/PTX",31,HL-171-223-08,OA/DTX/PTX,True,HL-170-222-08,Highland: Lochaber,1,True,True,HL-171-223-08
230,362964,2026-08-11 00:00:00,,Loch Leven: Upper,Area bounded by lines drawn between NN 1400 6153 and NN 1400 6119 and between NN 1500 6184 and NN 1500 6127 extending to MHWS,"Common mussel (Mytilus spp.) from HL 171 223 08, Loch Leven: Upper, Upper in Pod 31, collected on 11/08/2026, has recorded a result above the action level for the following test(s): OA/DTX/PTX",31,HL-171-223-08,OA/DTX/PTX,True,HL-171-223-08,Highland: Lochaber,1,True,True,HL-171-223-08
231,363346,2026-08-11 00:00:00,,Camas a Chuilinn: Loch Linnhe,"Area bounded by lines drawn between NN04586930, NN04826914, NN04986933, NN04836950","Common mussel (Mytilus spp.) from HL 171 223 08, Loch Leven: Upper, Upper in Pod 31, collected on 11/08/2026, has recorded a result above the action level for the following test(s): OA/DTX/PTX",31,HL-171-223-08,OA/DTX/PTX,True,HL-875-2386-08,Highland: Lochaber,1,True,True,HL-171-223-08
232,363173,2026-08-11 00:00:00,,Loch Sunart,"Area bounded by lines drawn between points NM 7761 6060, NM 7739 5999, NM 7808 5981, NM 7886 6112, NM 7869 5979 extending to MHWS between NM 7761 6060, NM 7886 6112, NM 7808 5981, NM 7869 5979 ","Common mussel (Mytilus spp.) from HL 206 1237 08, Loch Sunart, Liddesdale in Pod 137, collected on 11/08/2026, has recorded a result above the action level for the following test(s): OA/DTX/PTX",137,HL-206-1237-08,OA/DTX/PTX,True,HL-206-1237-08,Highland: Lochaber,1,True,True,HL-206-1237-08
217,362979,2026-07-29 00:00:00,,Loch Roag: Eilean Teinish,Area bounded by lines drawn between NB 1162 3500 to NB 1252 3500 and between NB 1297 3433 and NB 1157 3436 extending to MHWS ,"Common mussel (Mytilus spp.) from LH 188 123 08, Loch Roag: Miavaig, Miavaig in Pod 23, collected on 29/07/2026, has recorded a result above the action level for the following test(s): OA/DTX/PTX",23,LH-188-123-08,OA/DTX/PTX,True,LH-338-720-08,Comhairle nan Eilean Siar: Lewis & Harris,1,True,True,LH-188-123-08
218,362981,2026-07-29 00:00:00,,Loch Roag: Miavaig,"Area bounded by lines drawn between NB 0957 3400, NB 0956 3350, NB 1029 3364 and  NB1042 3437 extending to MHWS","Common mussel (Mytilus spp.) from LH 188 123 08, Loch Roag: Miavaig, Miavaig in Pod 23, collected on 29/07/2026, has recorded a result above the action level for the following test(s): OA/DTX/PTX",23,LH-188-123-08,OA/DTX/PTX,True,LH-188-123-08,Comhairle nan Eilean Siar: Lewis & Harris,1,True,True,LH-188-123-08
