Sin,AreaName,SiteName,latitude,longitude,source,confidence,detail
SI-326-733-08,Aith Voe Sletta,Slyde,60.2843334,-1.3762487,nominatim,low,"q=Aith, Shetland;Aith, Shetland Islands, Alba / Scotland, ZE2 9NW, United Kingdom"
OI-453-857-08,Bay of Backaskaill,Backaskaill Razors,59.2383571,-2.6115972,nominatim,low,"q=Backaskaill Bay, Orkney;Orkney walks - Backaskaill Bay, B9070, Sanday, Kettletoft, Orkney Islands, Alba / Scotland, KW17 2BN, United Kingdom"
OI-453-857-16,Bay of Backaskaill,Backaskaill Razors,59.2383571,-2.6115972,nominatim,low,"q=Backaskaill Bay, Orkney;Orkney walks - Backaskaill Bay, B9070, Sanday, Kettletoft, Orkney Islands, Alba / Scotland, KW17 2BN, United Kingdom"
SI-327-410-08,Busta Voe Lee North,Busta Voe Lee,60.3792066,-1.3630777,nominatim,low,"q=Busta Voe, Shetland;Busta Voe, Brae, Shetland Islands, Alba / Scotland, ZE2 9QG, United Kingdom"
AB-029-008-04,Campbeltown Loch,Kildalloig Bay,55.4245252,-5.5922098,nominatim,low,"q=Campbeltown Loch;Campbeltown Loch, Campbeltown, Argyll and Bute, Alba / Scotland, PA28 6EF, United Kingdom"
SI-050-420-08,Dales Voe: Scarvar Ayre,Scarvar Ayre,60.1901412,-1.187916,nominatim,low,"q=Dales Voe, Shetland;Dales Voe, Lerwick, Shetland Islands, Alba / Scotland, United Kingdom"
FF-060-191-08,Elie,Elie Ness,56.1904515,-2.8202468,nominatim,low,"q=Elie;Elie, Elie and Earlsferry, Fife, Alba / Scotland, KY9 1DB, United Kingdom"
OI-455-859-16,Fersness Bay,Fersness Razors,59.1889472,-2.800403,nominatim,low,"q=Fersness Bay;Fersness Bay, Orkney Islands, Alba / Scotland, United Kingdom"
FF-068-184-19,Firth of Forth: North,Anstruther,56.2227638,-2.7005643,nominatim,medium,"q=Anstruther, Fife, Scotland;Anstruther, Fife, Alba / Scotland, KY10 3EA, United Kingdom"
FF-072-188-16,Forth Estuary: Largo Bay,Largo Bay,56.2126296,-2.9359312,nominatim,low,"q=Largo Bay, Fife, Scotland;Largo Bay Sailing Club, Main Street, Temple, Lower Largo, Fife, Alba / Scotland, KY8 6BP, United Kingdom"
AB-699-1519-13,Gallochoille Old Pier,Gallochoille Old Pier,55.6675293,-5.7307686,nominatim,low,"q=Gallochoille, Argyll, Scotland;Gallochoille Cottage, dun site, Gigha Ferry Slip, Dùnan Buidhe, Ardminish, Argyll and Bute, Alba / Scotland, PA41 7AA, United Kingdom"
AB-697-1512-04,Ganavan Cockles,Ganavan,56.4352948,-5.4707724,nominatim,medium,"q=Ganavan, Oban, Scotland;Ganavan, Oban, Argyll and Bute, Alba / Scotland, PA34 5TB, United Kingdom"
HL-075-205-08,Glenuig Bay,Glenuig Bay,56.832617,-5.8171857,nominatim,low,"q=Glenuig Bay;Glenuig Bay, Glenuig, Alba / Scotland, PH38 4NG, United Kingdom"
SI-076-1338-08,Gon Firth,Cole Deep,60.346807,-1.346189,nominatim,low,"q=Gon Firth;Gon Firth, Shetland Islands, Alba / Scotland, United Kingdom"
SI-348-736-08,Hamnavoe,Copister,58.9614356,-3.2993767,nominatim,low,"q=Hamnavoe;Stromness, Orkney Islands, Alba / Scotland, KW16 3BU, United Kingdom"
DG-809-2132-16,Kirkcudbright Bay Razors,Kirkcudbright Bay Razors,54.7758681,-4.0734424,nominatim,low,"q=Kirkcudbright Bay, Scotland;Kirkcudbright Bay, Alba / Scotland, United Kingdom"
DG-809-2375-16,Kirkcudbright Bay Razors,Brighouse Bay,54.7758681,-4.0734424,nominatim,low,"q=Kirkcudbright Bay, Scotland;Kirkcudbright Bay, Alba / Scotland, United Kingdom"
SI-107-429-08,Lang Sound,Lang Sound,60.0889202,-1.3212485,nominatim,low,"q=Lang Sound;Lang Sound, Burra and Trondra, Bridge End, Shetland Islands, Alba / Scotland, United Kingdom"
AB-286-082-13,Loch Na Keal West,Eilean Casach,56.473986,-6.0627443,nominatim,medium,"q=Loch na Keal;Loch na Keal, Argyll and Bute, Alba / Scotland, United Kingdom"
AB-656-1409-04,Loch Riddon Cockles,Loch Riddon Cockles,55.959915,-5.1918369,nominatim,low,"q=Loch Riddon, Argyll, Scotland;Loch Riddon, Argyll and Bute, Alba / Scotland, United Kingdom"
AB-617-1204-04,Loch na Cille,Loch na Cille Cockles,57.5988801,-7.4972187,nominatim,low,"q=Loch na Cille;Loch na Cille, Baile Raghnaill, Na h-Eileanan Siar, Alba / Scotland, United Kingdom"
AB-617-1204-08,Loch na Cille,Loch na Cille Cockles,57.5988801,-7.4972187,nominatim,low,"q=Loch na Cille;Loch na Cille, Baile Raghnaill, Na h-Eileanan Siar, Alba / Scotland, United Kingdom"
DG-499-865-16,Luce Bay Razors,Luce Sands Razors,54.7534315,-4.754222,nominatim,low,"q=Luce Bay, Dumfries, Scotland;Luce Bay, Dumfries and Galloway, Alba / Scotland, United Kingdom"
OI-888-888-08,Mainland: Tingwall Pier,Mainland: Tingwall Pier,59.0883412,-3.0456924,nominatim,low,"q=Tingwall, Orkney;Tingwall, Orkney Islands, Alba / Scotland, KW17 2HB, United Kingdom"
SA-337-719-16,North Bay,Barassie,58.7951394,-3.2332191,nominatim,low,"q=North Bay;North Bay, Longhope, Orkney Islands, Alba / Scotland, United Kingdom"
OI-865-2349-13,North Bay Oysters - Hoy,North Bay Oysters - Hoy,58.8520573,-3.2869398,nominatim,low,"q=Hoy, Orkney;Hoy, Lyness, Orkney Islands, Alba / Scotland, United Kingdom"
AB-308-701-13,Oitir Mhor Bay,Oitir Mhor,57.5026971,-7.3246344,nominatim,low,"q=Oitir Mhor;Oitir Mhòr, Càirinis, Na h-Eileanan Siar, Alba / Scotland, United Kingdom"
SI-232-438-08,Olna Firth Inner,Parkgate,60.3598105,-1.3206999,nominatim,low,"q=Olna Firth, Shetland;Olna Firth, Voe, Shetland Islands, Alba / Scotland, United Kingdom"
SI-896-434-08,Olna Firth Outer,Foula Wick,60.3598105,-1.3206999,nominatim,low,"q=Olna Firth, Shetland;Olna Firth, Voe, Shetland Islands, Alba / Scotland, United Kingdom"
OI-244-365-08,Scapa Bay,Scapa Bay,58.9517743,-2.9843494,nominatim,low,"q=Scapa Bay;Scapa Bay, Kirkwall, Orkney Islands, Alba / Scotland, United Kingdom"
LH-249-129-04,Seilebost,Seilebost Indicator,57.8654356,-6.9494431,nominatim,low,"q=Seilebost;Seilebost, Na h-Eileanan Siar, Alba / Scotland, HS3 3HP, United Kingdom"
LH-249-129-08,Seilebost,Seilebost Indicator,57.8654356,-6.9494431,nominatim,low,"q=Seilebost;Seilebost, Na h-Eileanan Siar, Alba / Scotland, HS3 3HP, United Kingdom"
AB-515-935-08,Sound of Gigha,Sound of Gigha Indicator,55.6810203,-5.6988254,nominatim,low,"q=Sound of Gigha;Sound of Gigha, Ardminish, Alba / Scotland, United Kingdom"
SI-421-825-08,South Voe Mussels,South Voe Mussels,60.0736009,-1.33012,nominatim,low,"q=South Voe, Shetland;South Voe, Burra and Trondra, Bridge End, Shetland Islands, Alba / Scotland, United Kingdom"
