year,june_sst_oisst,june_sst_trend,june_sst_trend_residual,june_sst_clim_anom,warming_year_decade
2002,12.365845528455285,13.49966519764508,-1.1338196691897942,-1.491386061115783,0.0
2003,13.613028455284553,13.529462396972242,0.08356605831231079,-0.24420313428651497,0.1
2004,13.910060975609756,13.559259596299412,0.3508013793103437,0.05282938603868814,0.2
2005,13.88620731707317,13.589056795626576,0.2971505214465946,0.02897572750210209,0.3
2006,13.817760162601624,13.618853994953746,0.19890616764787872,-0.03947142696944361,0.4
2007,14.624455284552846,13.648651194280909,0.9758040902719376,0.7672236949817783,0.5
2008,13.688853658536585,13.678448393608079,0.010405264928506242,-0.16837793103448284,0.6
2009,14.312752032520326,13.708245592935242,0.6045064395850837,0.45552044294925764,0.7
2010,14.346162601626016,13.738042792262405,0.6081198093636111,0.48893101205494816,0.8
2011,12.681520325203252,13.767839991589575,-1.0863196663863235,-1.1757112643678163,0.9
2012,13.00011382113821,13.797637190916738,-0.7975233697785278,-0.8571177684328575,1.0
2013,13.139414634146341,13.827434390243909,-0.6880197560975674,-0.7178169554247269,1.1
2014,14.73840650406504,13.857231589571072,0.8811749144939682,0.8811749144939718,1.2
2015,12.582983739837399,13.887028788898242,-1.3040450490608428,-1.2742478497336691,1.3
2016,14.686499999999999,13.916825988225405,0.7696740117745939,0.8292684104289307,1.4
2017,13.909418699186993,13.946623187552575,-0.03720448836558177,0.05218710961592521,1.5
2018,14.903365853658537,13.976420386879738,0.9269454667787986,1.0461342640874687,1.6
2019,13.695516260162602,14.006217586206908,-0.3107013260443061,-0.1617153294084659,1.7
2020,13.451971544715446,14.036014785534071,-0.5840432408186249,-0.4052600448556216,1.8
2021,13.41439837398374,14.065811984861242,-0.6514136108775013,-0.4428332155873278,1.9
2022,13.879463414634147,14.095609184188405,-0.21614576955425768,0.02223182506307886,2.0
2023,15.97270325203252,14.125406383515568,1.8472968685169526,2.1154716624614522,2.1
2024,13.196682926829267,14.155203582842738,-0.9585206560134711,-0.6605486627418014,2.2
2025,14.377922624053825,14.185000782169901,0.19292184188392447,0.5206910344827573,2.3
2026,14.235281749369218,14.214797981497071,0.020483767872146785,0.3780501597981498,2.4
