year,month,rain,meant,soil,solar_radiation_jcm2,pe,evap,dd_below_15_5,station_no,station_name,source
2023,1,196.6,7.7,7.3,7624.0,18.6,24.6,243.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,2,62.0,8.8,8.6,12457.0,23.7,31.9,186.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,3,239.2,8.3,8.5,22341.0,35.0,52.3,224.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,4,77.7,10.3,10.4,40375.0,58.7,86.1,156.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,5,57.5,13.0,13.9,59240.0,84.6,120.8,90.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,6,124.5,16.4,17.6,59447.0,93.3,129.5,21.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,7,170.3,15.3,16.2,47050.0,76.6,111.3,23.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,8,177.1,15.9,16.5,43550.0,67.6,96.9,19.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,9,189.3,15.6,16.0,31693.0,54.1,73.6,41.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,10,253.1,12.8,13.2,17673.0,29.5,39.9,93.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,11,165.0,9.8,9.9,10252.0,21.7,27.8,170.0,2275,Valentia Observatory,prodapi_agmet_monthly
2023,12,232.3,9.2,8.7,5084.0,20.3,26.0,195.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,1,126.9,6.3,5.9,9572.0,17.7,23.7,286.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,2,183.2,9.2,8.9,12656.0,22.4,31.5,183.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,3,239.8,8.7,8.7,25315.0,38.4,56.3,210.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,4,124.1,10.0,10.5,40343.0,53.3,81.0,166.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,5,57.1,12.7,13.8,55794.0,80.8,115.0,94.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,6,73.5,12.9,14.4,58226.0,81.9,120.8,82.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,7,76.1,14.5,15.6,54586.0,80.8,116.0,46.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,8,146.9,15.4,16.2,42118.0,64.9,95.1,28.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,9,84.0,13.8,14.5,33836.0,52.0,72.1,66.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,10,202.8,12.3,12.5,17440.0,30.1,40.9,100.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,11,196.3,10.8,11.0,8051.0,19.0,24.6,143.0,2275,Valentia Observatory,prodapi_agmet_monthly
2024,12,141.6,9.1,9.0,5505.0,19.0,24.1,198.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,1,198.8,7.1,6.8,8133.0,18.9,24.9,262.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,2,192.1,8.8,7.8,14993.0,27.0,36.9,189.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,3,52.8,9.6,8.6,30010.0,45.9,64.1,186.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,4,97.4,11.6,11.0,47400.0,71.9,100.2,130.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,5,53.3,13.1,14.3,64010.0,88.8,127.6,87.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,6,125.4,14.6,15.7,44049.0,69.1,100.5,46.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,7,109.4,15.9,17.2,50125.0,79.3,111.9,23.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,8,129.4,17.0,17.6,38812.0,69.3,95.8,11.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,9,218.0,13.5,14.5,31225.0,47.1,68.5,67.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,10,198.1,12.3,12.8,16537.0,33.8,45.2,102.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,11,234.7,9.8,10.0,8755.0,18.6,24.0,171.0,2275,Valentia Observatory,prodapi_agmet_monthly
2025,12,200.0,7.9,7.7,6283.0,18.1,22.5,235.0,2275,Valentia Observatory,prodapi_agmet_monthly
2026,1,215.1,6.5,5.9,8241.0,16.4,21.1,279.0,2275,Valentia Observatory,prodapi_agmet_monthly
2026,2,116.9,9.1,8.1,12613.0,23.8,32.5,180.0,2275,Valentia Observatory,prodapi_agmet_monthly
2026,3,141.3,8.7,8.7,26906.0,38.4,57.0,213.0,2275,Valentia Observatory,prodapi_agmet_monthly
2026,4,151.1,10.4,10.5,40127.0,62.1,90.3,156.0,2275,Valentia Observatory,prodapi_agmet_monthly
2026,5,81.0,12.5,13.4,53053.0,75.9,111.9,108.0,2275,Valentia Observatory,prodapi_agmet_monthly
2026,6,125.7,14.7,16.1,50984.0,78.3,113.7,51.0,2275,Valentia Observatory,prodapi_agmet_monthly
2026,7,14.0,17.5,18.6,65279.0,105.2,143.4,16.0,2275,Valentia Observatory,prodapi_agmet_monthly
2026,8,90.8,16.1,17.2,43002.0,69.7,96.2,25.0,2275,Valentia Observatory,prodapi_agmet_monthly
2026,9,,,,,,,,2275,Valentia Observatory,prodapi_agmet_monthly
2026,10,,,,,,,,2275,Valentia Observatory,prodapi_agmet_monthly
2026,11,,,,,,,,2275,Valentia Observatory,prodapi_agmet_monthly
2026,12,,,,,,,,2275,Valentia Observatory,prodapi_agmet_monthly
