date,wdsp,hm,ddhm,hg,glorad,sun,maxtp,mintp,rain,soil,cbl,pe,evap,station_no,station_name
1942-01-01,15.7,19.0,200.0,32.0,,,11.1,9.8,1.7,,1026.2,0.9,1.1,2275,Valentia Observatory
1942-01-02,14.8,23.0,200.0,33.0,,,11.6,10.0,4.6,,1023.8,0.6,0.8,2275,Valentia Observatory
1942-01-03,14.6,24.0,210.0,39.0,,,12.1,9.8,16.7,,1014.5,0.3,0.5,2275,Valentia Observatory
1942-01-04,14.6,24.0,40.0,37.0,,,9.9,4.0,3.5,,1012.0,0.5,0.7,2275,Valentia Observatory
1942-01-05,15.5,31.0,40.0,45.0,,,4.9,1.4,0.0,,1022.5,0.9,1.1,2275,Valentia Observatory
1942-01-06,8.2,19.0,350.0,29.0,,,8.9,1.2,1.2,,1031.2,0.5,0.7,2275,Valentia Observatory
1942-01-07,5.2,13.0,360.0,21.0,,,8.9,3.2,0.7,,1032.1,0.3,0.4,2275,Valentia Observatory
1942-01-08,3.1,8.0,330.0,13.0,,,7.9,0.3,0.6,,1027.9,0.1,0.2,2275,Valentia Observatory
1942-01-09,6.9,12.0,60.0,19.0,,,7.9,3.4,2.0,,1021.5,0.4,0.5,2275,Valentia Observatory
1942-01-10,6.6,14.0,40.0,26.0,,,6.4,0.4,0.0,,1023.0,0.3,0.4,2275,Valentia Observatory
1942-01-11,15.2,28.0,350.0,40.0,,,7.2,3.7,20.9,,1020.2,0.7,1.0,2275,Valentia Observatory
1942-01-12,13.3,27.0,190.0,48.0,,,8.1,-0.7,14.5,,1008.6,0.5,0.7,2275,Valentia Observatory
1942-01-13,6.9,18.0,280.0,29.0,,,7.7,0.6,8.6,,994.2,0.3,0.4,2275,Valentia Observatory
1942-01-14,7.7,18.0,140.0,29.0,,,7.2,-0.1,3.7,,1002.7,0.2,0.3,2275,Valentia Observatory
1942-01-15,27.8,40.0,150.0,65.0,,,10.7,6.6,26.6,,994.0,1.1,1.7,2275,Valentia Observatory
1942-01-16,14.8,31.0,330.0,43.0,,,8.5,5.6,7.3,,1001.7,1.0,1.3,2275,Valentia Observatory
1942-01-17,11.5,23.0,210.0,35.0,,,11.1,1.1,8.1,,1014.7,0.3,0.5,2275,Valentia Observatory
1942-01-18,10.3,22.0,150.0,38.0,,,10.7,3.8,0.6,,1016.4,0.2,0.3,2275,Valentia Observatory
1942-01-19,15.0,19.0,270.0,34.0,,,11.6,7.8,28.2,,1009.6,1.0,1.2,2275,Valentia Observatory
1942-01-20,13.2,22.0,190.0,36.0,,,10.7,6.3,1.8,,1011.0,0.9,1.1,2275,Valentia Observatory
1942-01-21,14.5,22.0,170.0,37.0,,,10.1,6.1,27.2,,1010.4,0.7,0.9,2275,Valentia Observatory
1942-01-22,10.0,20.0,200.0,31.0,,,10.4,2.3,9.0,,1014.4,0.4,0.6,2275,Valentia Observatory
1942-01-23,16.6,24.0,230.0,36.0,,,11.8,9.9,19.6,,1007.3,0.8,1.1,2275,Valentia Observatory
1942-01-24,19.0,31.0,300.0,53.0,,,12.6,6.6,5.0,,1002.2,0.9,1.3,2275,Valentia Observatory
1942-01-25,17.0,28.0,290.0,49.0,,,8.4,4.5,2.3,,1004.2,1.5,1.9,2275,Valentia Observatory
1942-01-26,10.1,24.0,160.0,35.0,,,8.9,0.7,1.7,,1009.3,0.3,0.5,2275,Valentia Observatory
1942-01-27,19.6,32.0,300.0,53.0,,,10.9,4.7,10.6,,1004.4,0.8,1.1,2275,Valentia Observatory
1942-01-28,23.8,32.0,300.0,55.0,,,8.7,3.9,7.5,,1005.0,1.0,1.5,2275,Valentia Observatory
1942-01-29,12.9,32.0,290.0,58.0,,,9.6,2.9,1.5,,1010.5,0.6,0.8,2275,Valentia Observatory
1942-01-30,22.8,34.0,330.0,56.0,,,9.9,3.9,4.9,,1010.2,0.7,1.1,2275,Valentia Observatory
1942-01-31,18.4,33.0,330.0,48.0,,,9.4,7.7,1.6,,1017.9,1.3,1.7,2275,Valentia Observatory
1942-02-01,15.6,24.0,330.0,42.0,,,10.6,8.9,1.1,,1019.9,0.6,0.8,2275,Valentia Observatory
1942-02-02,10.0,17.0,290.0,28.0,,,10.4,8.7,0.3,,1018.6,1.7,2.0,2275,Valentia Observatory
1942-02-03,13.2,21.0,330.0,29.0,,,10.7,8.2,0.4,,1016.3,0.5,0.8,2275,Valentia Observatory
1942-02-04,12.3,19.0,20.0,28.0,,,9.6,6.1,0.1,,1019.2,0.7,1.0,2275,Valentia Observatory
1942-02-05,7.9,17.0,70.0,24.0,,,6.1,1.1,0.0,,1026.3,0.7,0.9,2275,Valentia Observatory
1942-02-06,8.8,17.0,20.0,27.0,,,9.4,2.0,2.1,,1024.7,0.6,0.8,2275,Valentia Observatory
1942-02-07,13.0,20.0,50.0,31.0,,,8.7,1.8,0.0,,1023.8,0.8,1.1,2275,Valentia Observatory
1942-02-08,2.9,8.0,100.0,12.0,,,6.7,-2.1,0.0,,1028.4,0.4,0.6,2275,Valentia Observatory
1942-02-09,4.8,11.0,350.0,14.0,,,8.8,3.9,0.2,,1025.7,0.5,0.7,2275,Valentia Observatory
1942-02-10,4.6,13.0,340.0,18.0,,,8.9,3.1,1.0,,1020.2,0.4,0.6,2275,Valentia Observatory
1942-02-11,4.1,15.0,40.0,20.0,,,7.0,2.2,1.4,,1019.8,0.4,0.5,2275,Valentia Observatory
1942-02-12,12.7,20.0,320.0,33.0,,,10.7,6.3,2.1,,1018.4,0.7,1.0,2275,Valentia Observatory
1942-02-13,8.8,17.0,300.0,31.0,,,10.1,3.5,3.7,,1023.4,0.6,0.8,2275,Valentia Observatory
1942-02-14,6.0,17.0,140.0,24.0,,,7.7,3.2,0.0,,1028.9,0.7,0.9,2275,Valentia Observatory
1942-02-15,14.5,21.0,140.0,36.0,,,9.1,6.7,0.0,,1028.9,1.1,1.5,2275,Valentia Observatory
1942-02-16,17.9,23.0,130.0,37.0,,,8.2,6.1,0.0,,1030.9,1.5,2.0,2275,Valentia Observatory
1942-02-17,13.0,22.0,140.0,35.0,,,6.1,1.7,0.0,,1033.7,1.3,1.7,2275,Valentia Observatory
1942-02-18,13.1,19.0,200.0,31.0,,,5.8,2.7,0.0,,1031.4,1.3,1.8,2275,Valentia Observatory
1942-02-19,16.3,22.0,100.0,36.0,,,7.2,3.6,0.0,,1026.8,1.4,1.9,2275,Valentia Observatory
1942-02-20,15.6,23.0,90.0,39.0,,,9.7,3.9,0.0,,1019.2,1.7,2.3,2275,Valentia Observatory
1942-02-21,11.5,19.0,100.0,33.0,,,4.7,0.7,0.0,,1011.8,1.1,1.5,2275,Valentia Observatory
1942-02-22,12.0,19.0,190.0,26.0,,,1.8,-2.2,0.0,,1008.3,0.9,1.3,2275,Valentia Observatory
1942-02-23,8.0,14.0,70.0,22.0,,,3.9,-3.2,0.1,,1007.2,1.0,1.5,2275,Valentia Observatory
1942-02-24,4.5,8.0,210.0,12.0,,,7.4,-5.4,0.2,,1006.7,0.9,1.2,2275,Valentia Observatory
1942-02-25,7.9,14.0,160.0,19.0,,,8.4,2.3,0.8,,1010.3,1.0,1.4,2275,Valentia Observatory
1942-02-26,11.4,16.0,200.0,27.0,,,8.0,1.3,2.2,,1013.6,0.8,1.1,2275,Valentia Observatory
1942-02-27,9.5,17.0,250.0,26.0,,,9.4,4.4,13.6,,1007.7,0.9,1.2,2275,Valentia Observatory
1942-02-28,15.4,23.0,180.0,39.0,,,9.6,6.8,15.6,,998.1,0.6,1.0,2275,Valentia Observatory
1942-03-01,13.3,25.0,140.0,39.0,,,9.5,5.1,0.5,,1001.9,0.9,1.3,2275,Valentia Observatory
1942-03-02,22.1,32.0,130.0,54.0,,,10.9,8.5,8.0,,1001.0,1.0,1.6,2275,Valentia Observatory
1942-03-03,20.7,34.0,130.0,63.0,,,12.2,8.9,17.7,,994.7,0.8,1.4,2275,Valentia Observatory
